Strain,Contig,M9_Expression,Replicate,M9_Average_Expression,M9_SD,M9_SE,TB_Expression,TB_Average_Expression,TB_SD,TB_SE,Average_Ratio,Shape,Gene,ColorLabels,,,,,,
PCU1T,contig_3_-,0,2,0,0,0,0,0,0,0,,trb,trbD,#040F0F,,,,,,
PCU1T,contig_3_-,0,3,0,0,0,0,0,0,0,,trb,trbD,#040F0F,,,,,,
5243T,contig_3_-,0,1,0,0,0,0,0,0,0,,trb,trbE,#7F001D,,,,,,
5243T,contig_3_-,0,2,0,0,0,0,0,0,0,,trb,trbE,#7F001D,,,,,,
5243T,contig_3_-,0,3,0,0,0,0,0,0,0,,trb,trbE,#7F001D,,,,,,
PCU1T,contig_3_-,1,1,0.67,0.58,0.33,1,0.33,0.58,0.33,2.03030303,trb,trbE,#7F001D,,,,,,
PCU1T,contig_3_-,1,2,0.67,0.58,0.33,0,0.33,0.58,0.33,,trb,trbE,#7F001D,,,,,,
PCU1T,contig_3_-,0,3,0.67,0.58,0.33,0,0.33,0.58,0.33,,trb,trbE,#7F001D,,,,,,
2560T,7arrow_MOBF,56,1,32,23.07,13.32,16,18.67,2.52,1.45,1.713979646,trb,trbF,#FFD87F,,,,,,
2560T,7arrow_MOBF,10,2,32,23.07,13.32,19,18.67,2.52,1.45,,trb,trbF,#FFD87F,,,,,,
2560T,7arrow_MOBF,30,3,32,23.07,13.32,21,18.67,2.52,1.45,,trb,trbF,#FFD87F,,,,,,
5243T,contig_3_-,1,1,0.33,0.58,0.33,0,0.33,0.58,0.33,1,trb,trbF,#FFD87F,,,,,,
5243T,contig_3_-,0,2,0.33,0.58,0.33,0,0.33,0.58,0.33,,trb,trbF,#FFD87F,,,,,,
5243T,contig_3_-,0,3,0.33,0.58,0.33,1,0.33,0.58,0.33,,trb,trbF,#FFD87F,,,,,,
PCU1T,contig_3_-,0,1,0,0,0,1,0.33,0.58,0.33,0,trb,trbF,#FFD87F,,,,,,
PCU1T,contig_3_-,0,2,0,0,0,0,0.33,0.58,0.33,,trb,trbF,#FFD87F,,,,,,
PCU1T,contig_3_-,0,3,0,0,0,0,0.33,0.58,0.33,,trb,trbF,#FFD87F,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,70,1,47,20.07,11.59,11,11.67,2.08,1.2,4.027420737,trb,trbI,#06AED5,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,38,2,47,20.07,11.59,10,11.67,2.08,1.2,,trb,trbI,#06AED5,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,33,3,47,20.07,11.59,14,11.67,2.08,1.2,,trb,trbI,#06AED5,,,,,,
2560T,7arrow_MOBF,48,1,26.33,18.77,10.84,6,7.67,2.08,1.2,3.43285528,trb,trbJ,#3D3D3D,,,,,,
2560T,7arrow_MOBF,15,2,26.33,18.77,10.84,10,7.67,2.08,1.2,,trb,trbJ,#3D3D3D,,,,,,
2560T,7arrow_MOBF,16,3,26.33,18.77,10.84,7,7.67,2.08,1.2,,trb,trbJ,#3D3D3D,,,,,,
5243T,contig_3_-,0,1,0,0,0,0,0,0,0,,trb,trbJ,#3D3D3D,,,,,,
5243T,contig_3_-,0,2,0,0,0,0,0,0,0,,trb,trbJ,#3D3D3D,,,,,,
5243T,contig_3_-,0,3,0,0,0,0,0,0,0,,trb,trbJ,#3D3D3D,,,,,,
PCU1T,contig_3_-,0,1,0,0,0,1,0.33,0.58,0.33,,trb,trbJ,#3D3D3D,,,,,,
PCU1T,contig_3_-,0,2,0,0,0,0,0.33,0.58,0.33,,trb,trbJ,#3D3D3D,,,,,,
PCU1T,contig_3_-,0,3,0,0,0,0,0.33,0.58,0.33,,trb,trbJ,#3D3D3D,,,,,,
