Strain,Contig,M9_Expression,Replicate,M9_Average_Expression,M9_SD,M9_SE,TB_Expression,TB_Average_Expression,TB_SD,TB_SE,Average_Ratio,Shape,Gene,ColorLabels,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,3,0.67,0.58,0.33,0,0.33,0.58,0.33,,pil,pilU,#3D3D3D,,,,,,
2560T,NC_000913.3;000000F_arrow;000001Farrow_MOBF,499,1,451,57.69,33.31,694,716.67,64.08,37,0.629299399,rep,rep,#00394C,,,,,,
2560T,NC_000913.3;000000F_arrow;000001Farrow_MOBF,387,2,451,57.69,33.31,667,716.67,64.08,37,,rep,rep,#00394C,,,,,,
2560T,NC_000913.3;000000F_arrow;000001Farrow_MOBF,467,3,451,57.69,33.31,789,716.67,64.08,37,,rep,rep,#00394C,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,4516,1,4236,356.26,205.69,4333,3911.33,365.75,211.17,1.08300757,rep,repA,#FFB300,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,4357,2,4236,356.26,205.69,3721,3911.33,365.75,211.17,,rep,repA,#FFB300,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,3835,3,4236,356.26,205.69,3680,3911.33,365.75,211.17,,rep,repA,#FFB300,,,,,,
2560T,7arrow_MOBF,8962,1,6456.67,2248.47,1298.16,2180,2232.67,106.28,61.36,2.891905208,rep,repA1,#FFB300,,,,,,
2560T,7arrow_MOBF,4614,2,6456.67,2248.47,1298.16,2163,2232.67,106.28,61.36,,rep,repA1,#FFB300,,,,,,
2560T,7arrow_MOBF,5794,3,6456.67,2248.47,1298.16,2355,2232.67,106.28,61.36,,rep,repA1,#FFB300,,,,,,
5243T,contig_3_-,0,1,0,0,0,0,0,0,0,,rep,repA2,#FFB300,,,,,,
5243T,contig_3_-,0,2,0,0,0,0,0,0,0,,rep,repA2,#FFB300,,,,,,
5243T,contig_3_-,0,3,0,0,0,0,0,0,0,,rep,repA2,#FFB300,,,,,,
5243T,contig_3_-;contig_6_MOBF;contig_9_-,1,1,0.33,0.58,0.33,1,1,1,0.58,0.33,misc,tnpA_1,#040F0F,,,,,,
5243T,contig_3_-;contig_6_MOBF;contig_9_-,0,2,0.33,0.58,0.33,0,1,1,0.58,,misc,tnpA_1,#040F0F,,,,,,
5243T,contig_3_-;contig_6_MOBF;contig_9_-,0,3,0.33,0.58,0.33,2,1,1,0.58,,misc,tnpA_1,#040F0F,,,,,,
5243T,contig_3_-;contig_6_MOBF;contig_9_-,7,1,5.33,2.08,1.2,5,5.33,0.58,0.33,1,trabasic,traA,#00394C,,,,,,
5243T,contig_3_-;contig_6_MOBF;contig_9_-,3,2,5.33,2.08,1.2,6,5.33,0.58,0.33,,trabasic,traA,#00394C,,,,,,
5243T,contig_3_-;contig_6_MOBF;contig_9_-,6,3,5.33,2.08,1.2,5,5.33,0.58,0.33,,trabasic,traA,#00394C,,,,,,
