Geneid,M9-5243T-5,M9-5243T-4,M9-5243T-1,TB-5243T-6,TB-5243T-5,TB-5243T-4
ybhC,1483,1397,2854,3154,2854,3774
ybhB,1962,1684,2028,559,502,595
bioA,2832,2588,3125,133,105,155
bioB,4777,4402,5693,65,65,67
bioF,2410,2085,2949,26,33,40
bioC,2797,2328,3824,108,90,113
bioD,1724,1191,2022,57,76,65
uvrB,4389,5241,4222,2997,2540,2955
ybhK,321,350,423,291,254,287
moaA,4248,4227,10709,5144,4404,5079
moaB,1232,1108,2960,2213,1817,2075
moaC,740,711,1734,1283,1129,1301
moaD,449,456,1033,714,612,755
moaE,552,525,1179,832,738,935
ybhL,3327,2785,2844,2967,2526,2834
ybhM,96,83,78,103,84,126
ybhN,74,84,100,84,52,69
clsB,193,173,205,176,118,197
ybhP,170,154,191,147,97,187
ybhQ,149,245,185,367,327,369
ybhR,200,291,318,365,256,343
ybhS,205,281,232,284,290,373
ybhF,272,317,247,616,515,636
ybhG,252,359,218,556,376,464
cecR,246,291,208,323,238,306
rhlE,2183,1931,5310,9387,8796,11283
ybiA,186,172,267,514,453,635
dinG,949,1071,1565,1379,1281,1603
ybiB,748,670,830,660,595,688
hcxB,636,502,516,396,304,367
ybiJ,1127,1123,1267,317,267,334
ybiI,90,66,74,28,27,34
ybiX,559,359,316,89,58,76
fiu,1867,906,1039,159,171,185
mcbA,93,105,130,90,75,63
rlmF,115,89,117,482,427,478
ybiO,351,316,435,471,331,483
glnQ,1338,1237,1252,10234,10483,13942
glnP,981,847,955,11070,10097,13200
glnH,2601,2190,2165,19497,16995,20632
dps,20287,16297,16016,57452,41548,57293
rhtA,101,96,155,174,155,178
yliM,1350,862,904,2906,2630,3694
ompX,15589,10386,12342,20387,18986,24769
opgE,267,249,330,990,905,1225
rybA,3237,2604,3040,536,511,574
mntS,3551,2991,3363,647,657,732
mntR,229,190,234,238,174,182
ybiR,461,373,512,507,459,525
ldtB,1412,1458,2075,2722,2477,3025
ybiT,2634,2345,4255,6084,5656,7277
ybiU,198,167,147,283,247,307
ybiV,138,92,111,142,158,179
ybiW,146,175,198,214,230,210
ybiY,15,17,18,25,26,40
fsaA,273,230,237,313,304,319
moeB,733,690,753,670,635,683
moeA,1311,1129,1329,1192,1083,1236
iaaA,1659,1709,1314,261,207,216
gsiA,1393,1530,1421,448,385,461
gsiB,1695,1771,1941,603,527,643
gsiC,321,376,514,146,119,145
gsiD,318,255,476,131,107,151
pdeI,32,44,42,45,45,67
dgcI,29,21,33,40,33,70
rimO,544,418,915,2223,2033,2518
bssR,655,854,534,3735,3370,3259
yliI,367,356,551,447,299,409
gstB,958,744,1043,345,303,326
dacC,899,778,989,1636,1359,1672
deoR,533,594,547,808,661,829
ybjG,340,403,288,3589,3267,4065
mdfA,116,112,124,606,493,648
ybjH,148,113,133,290,289,339
ybjI,518,427,483,455,439,501
ybjJ,255,257,334,376,351,391
rcdA,32,77,51,42,45,42
rybB,29,37,64,19,17,33
ybjL,2798,3343,4658,2941,2502,3224
ybjM,585,754,1104,310,256,427
grxA,140,163,194,412,382,750
ybjC,233,175,248,384,389,445
nfsA,305,263,365,593,529,641
rimK,426,404,563,914,750,848
ybjN,472,448,553,760,626,756
potF,381,276,326,141,99,168
potG,206,168,161,89,94,123
potH,176,166,153,44,51,59
potI,212,212,172,42,26,38
ybjO,147,159,164,198,145,191
rlmC,180,151,242,353,351,411
artJ,1659,1910,3478,515,371,474
artM,305,290,559,559,436,605
artQ,713,581,1219,1204,848,1115
artI,1099,975,1961,1463,1074,1264
artP,1041,949,1959,1288,1065,1301
ybjP,526,380,553,1445,899,1239
ybjQ,140,135,129,176,121,164
amiD,841,818,1047,1219,1002,1187
ybjS,229,215,248,548,437,659
ybjT,1035,912,1222,857,744,939
ltaE,1241,1047,1427,1026,897,1030
poxB,1996,1844,2366,2183,1538,2063
hcr,212,217,848,500,421,446
hcp,541,493,2642,1270,1195,1521
lysO,259,258,331,270,211,291
aqpZ,334,414,483,292,271,245
ybjD,557,474,466,1237,1027,1333
ybjX,719,567,450,5414,4489,5753
macA,522,564,682,196,170,218
macB,1177,1238,1647,575,518,653
cspD,4182,4687,5389,1120,998,1079
clpS,1025,1019,1100,554,554,577
clpA,42282,36385,36433,27402,23973,25325
serW,52,44,48,248,237,288
infA,2751,2500,4062,10224,8682,10702
aat,753,617,1019,431,357,486
cydC,2241,1945,3553,2036,1961,2657
cydD,1833,1495,3704,3194,2779,3392
trxB,1219,753,973,2068,1912,2527
lrp,1620,1376,1245,817,687,860
ftsK,14829,15260,19415,13385,12187,16347
lolA,2942,2909,3805,1818,1545,1966
rarA,2880,2879,3988,2001,1697,2161
serS,11493,12180,15394,10140,8822,9492
dmsA,164,131,209,5171,4505,5035
dmsB,25,26,45,843,759,900
dmsC,157,200,227,1930,1632,1804
ycaC,397,280,422,603,540,534
ycaD,244,269,292,612,532,656
ycaM,38,34,30,42,32,33
ycaN,54,43,44,29,29,41
ycaK,11,7,6,12,16,12
pflA,1156,1338,1544,3114,2943,3831
pflB,69371,67160,104869,63339,59856,75373
focA,5246,6398,10067,7114,6215,7422
ycaO,684,566,1381,2146,1999,2608
ycaP,115,98,112,107,74,99
serC,13715,11021,18678,2459,2164,2446
aroA,6920,4852,9599,1759,1543,1950
ycaL,88,89,135,45,35,45
cmk,7098,6823,12277,9568,9099,11020
rpsA,64714,70953,85214,91503,85259,103523
ihfB,1986,1314,1864,2976,2561,3251
ycaI,207,168,281,216,210,272
msbA,2359,2377,3429,5748,5525,6541
lpxK,658,632,977,1369,1235,1616
ycaQ,293,292,377,313,279,388
ycaR,254,184,305,221,216,251
kdsB,2282,2005,3028,2123,1865,2243
ycbJ,288,315,356,837,662,810
elyC,84,88,104,150,106,151
cmoM,717,703,862,858,722,836
mukF,1517,1449,2239,1980,1944,2187
mukE,1071,1052,1344,1301,1170,1467
mukB,7381,7671,9698,4753,4449,5250
ldtD,1898,1888,1784,1387,983,1141
ycbK,12440,11901,20895,3398,3315,4112
gloC,5920,6269,9640,2339,2190,2549
aspC,4865,3201,5822,2769,2451,3033
ompF,32013,20371,21664,1392,1343,1416
asnS,9669,11436,16043,10416,9331,11378
pncB,13710,14003,20175,4507,3673,4390
pepN,9497,7908,11394,8630,7359,8840
ssuB,281,269,309,110,88,157
ssuC,32,131,34,11,11,10
ssuD,35,116,32,18,10,9
ssuA,85,230,24,13,27,24
ssuE,58,191,27,13,5,16
elfA,32,24,23,37,29,38
elfD,10,9,4,22,11,19
elfC,58,55,63,46,32,46
elfG,101,79,97,66,57,57
ycbU,8,18,15,17,8,14
ycbV,26,31,37,18,20,17
ycbF,237,294,392,87,62,82
pyrD,925,360,417,1829,1632,2050
zapC,706,536,876,731,570,706
ycbX,1620,1352,1868,1070,919,1058
rlmL,1923,1577,2567,5570,5270,6687
uup,2518,2218,2882,2732,2846,3944
pqiA,817,770,1200,694,609,696
pqiB,862,792,1323,1184,930,1093
pqiC,125,116,136,126,108,142
rmf,44937,50377,58392,5793,4787,5890
fabA,5344,5178,5218,3708,3537,3974
ycbZ,1459,1525,2428,3337,3016,3866
matP,112,132,157,133,129,156
ompA,149658,99091,142433,198875,183075,231133
sulA,1786,2046,2261,640,636,737
sxy,244,215,197,135,112,104
yccS,1465,1331,1950,2954,2803,3340
yccF,393,268,473,1054,880,1056
helD,1267,1233,1402,1232,1060,1271
mgsA,1587,1387,1509,1179,970,1142
yccT,135,150,148,48,26,45
yccU,936,1041,1093,431,367,398
hspQ,1386,1409,1820,759,711,821
rlmI,424,423,529,637,575,676
yccX,125,149,149,192,141,173
tusE,174,218,333,535,499,579
yccA,11474,9075,22606,20463,19145,23911
serT,157,82,45,48,36,55
hyaA,209,144,167,8207,6174,8046
hyaB,283,252,292,21080,16099,20896
hyaC,48,62,60,4003,2990,3993
hyaD,28,35,41,1980,1506,1929
hyaE,60,49,73,3239,2706,3773
hyaF,78,96,129,5669,4679,6445
appC,2345,2083,3156,6127,5129,6596
appB,1226,1033,1751,2811,2448,3138
appX,73,47,97,127,88,144
appA,577,530,917,1027,942,1221
etk,531,694,726,285,210,311
etp,20,17,24,20,5,12
gfcE,40,40,44,31,42,48
gfcD,71,77,103,71,73,130
gfcC,10,10,10,30,44,35
gfcB,6,8,15,35,40,39
gfcA,116,87,145,309,311,394
insA-4,114,95,149,250,194,283
insB-4,1478,1042,2112,959,761,1048
cspH,44,19,46,153,125,237
cspG,3929,3115,5910,20719,20699,32832
ymcF,651,665,1666,5783,5622,8674
ymcE,19,21,34,146,125,198
gnsA,35,36,48,186,183,218
yccM,90,80,119,406,384,497
torS,336,352,410,597,474,633
torT,106,120,120,184,151,182
torR,81,99,128,121,107,125
torC,31,35,49,26,31,28
torA,205,227,285,98,73,84
torD,298,337,417,635,511,610
cbpM,244,251,300,578,398,469
cbpA,2196,1959,2331,5613,4121,4790
yccE,8,11,12,19,27,26
agp,682,416,602,1543,1313,1391
yccJ,276,214,254,3802,2338,3143
wrbA,678,552,569,8378,5138,6922
ymdF,73,90,68,18,17,19
rutG,189,248,238,79,59,80
rutF,18,25,19,6,10,6
rutE,37,35,41,15,11,20
rutD,24,19,22,16,14,15
rutC,22,22,25,11,8,10
rutB,11,26,20,13,6,7
rutA,14,17,11,7,10,12
rutR,77,89,76,80,69,80
putA,554,667,844,579,487,582
ymdG,28,18,51,30,29,34
putP,1191,1053,982,826,702,793
efeO,1336,883,529,85,93,116
efeB,631,537,323,60,73,74
phoH,368,407,304,131,149,110
pgaD,31,49,42,32,25,43
pgaC,36,48,48,58,67,69
pgaB,73,81,70,148,149,214
pgaA,284,273,320,1045,883,1127
dgcT,115,77,114,78,77,86
insF-4,170,167,230,212,168,235
insE-4,78,69,101,39,45,61
ycdU,9,14,19,9,7,17
serX,19,12,11,18,14,29
ghrA,365,294,336,431,326,444
ycdX,1134,1045,1402,1313,1143,1432
ycdY,1102,927,1426,1264,1040,1449
ycdZ,458,376,628,769,666,827
csgG,698,500,424,150,92,126
csgF,401,171,170,42,36,43
csgE,242,144,150,23,11,13
csgD,1605,1023,787,62,55,57
csgB,29,28,23,15,6,6
csgA,98,103,117,43,32,29
csgC,40,22,28,12,11,17
ymdA,46,39,43,27,23,35
ymdB,1591,1430,1710,706,508,672
clsC,609,583,917,331,282,374
opgC,140,115,167,562,481,661
opgG,951,920,1032,4545,3996,4654
opgH,1146,1237,1326,3916,3590,4466
yceK,162,129,198,600,422,541
msyB,268,196,336,996,726,968
mdtG,233,242,390,1138,963,1161
lpxL,291,334,449,931,770,917
yceA,467,268,430,262,257,301
yceI,446,300,357,131,109,170
yceJ,187,155,231,81,107,123
yceO,34,19,39,32,19,39
solA,1128,954,1397,955,827,1119
bssS,13451,15931,23590,5442,4595,5731
dinI,770,651,786,540,417,560
pyrC,5178,2520,3954,2997,2377,3110
yceB,1160,1207,1769,2218,1848,2250
grxB,5490,4633,6166,4017,3419,4053
mdtH,186,171,201,92,91,86
rimJ,923,728,713,578,543,575
yceH,394,325,313,306,244,257
yceM,492,449,437,351,313,333
murJ,288,235,448,747,720,816
flgN,290,246,431,165,139,221
flgM,351,250,469,100,137,144
flgA,81,80,111,50,53,64
flgB,12,5,20,8,4,9
flgC,7,4,8,3,3,4
flgD,38,35,38,15,10,15
flgE,84,70,105,55,47,48
flgF,63,65,79,17,19,25
flgG,63,59,82,35,44,34
flgH,22,27,49,20,21,26
flgI,37,46,76,32,33,40
flgJ,29,30,54,25,25,25
flgK,147,109,189,87,89,82
flgL,340,322,462,117,110,129
rne,8540,7047,12656,21625,19253,25028
yceQ,530,434,699,915,739,928
rluC,930,687,1160,2829,2508,3314
yceF,445,402,592,345,297,416
sraB,2002,1953,2603,1313,1223,1630
yceD,6570,6379,7591,9936,9046,10677
rpmF,17592,16598,17813,25018,23863,29188
plsX,2514,2182,3252,9525,8971,11340
fabH,3319,3089,4079,9826,9885,12393
fabD,5368,4803,6427,9214,9773,13073
fabG,7771,7634,10204,5519,5200,6099
acpP,7662,7486,9981,8763,8122,9289
fabF,9440,10555,16054,19460,17712,20343
pabC,732,710,1021,988,860,1078
mltG,200,227,274,323,284,339
tmk,999,1135,1461,1191,1039,1371
holB,1234,1243,1941,1402,1247,1684
ycfH,1393,1300,1914,1106,985,1232
ptsG,3859,2902,4371,2531,2276,2601
fhuE,6789,5656,6728,168,171,196
hinT,561,525,828,548,461,544
ycfL,435,366,565,393,342,413
lpoB,1609,1481,2465,1502,1245,1483
thiK,243,287,389,306,253,280
nagZ,1490,1501,1748,1284,1219,1387
ycfP,721,656,792,1112,963,1168
ndh,12092,12894,17355,5926,5223,6179
ycfJ,542,849,646,799,759,944
comR,389,410,360,253,260,372
bhsA,235,429,242,2683,3272,4904
ldtC,245,306,891,453,433,626
mfd,4021,3465,5455,4976,5104,5769
ycfT,77,71,87,21,22,21
lolC,603,561,1212,1848,1535,2045
lolD,215,224,361,587,599,699
lolE,1901,1930,3309,2616,2673,3365
nagK,1612,1585,2557,1411,1308,1788
cobB,415,422,579,446,332,393
ycfZ,50,38,50,54,35,47
ymfA,25,15,15,40,41,63
potD,1621,1210,1735,1876,1845,2522
potC,510,399,743,1597,1794,2346
potB,775,613,1485,4130,4127,5356
potA,621,544,1194,3512,3436,4347
pepT,1659,1438,1770,2028,1696,1920
roxA,1299,1266,1575,1913,1708,1991
phoQ,1155,1023,1248,4076,3504,4490
phoP,2356,1907,1929,6968,6619,8329
purB,2356,1486,2015,2094,2188,2726
hflD,660,543,783,1540,1322,1641
mnmA,2287,2159,3188,7386,6230,7940
nudJ,178,169,216,536,463,510
rluE,313,251,341,974,895,1096
icd,11169,7766,6996,2164,1987,2138
ymfD,23,12,16,32,41,31
ymfE,9,5,7,25,33,39
lit,52,40,52,114,116,153
intE,77,64,93,39,33,30
xisE,27,28,29,13,4,11
ymfH,71,91,125,27,16,33
ymfI,322,286,308,142,126,162
ymfJ,62,95,83,32,28,35
ymfK,160,143,173,235,190,241
ymfT,29,37,22,32,8,20
ymfL,76,91,135,38,42,59
ymfM,24,35,23,11,12,15
ymfN,17,25,19,17,10,11
ymfR,1,1,2,1,1,0
beeE,4,6,10,3,5,4
ymfQ,12,7,3,1,2,3
ycfK,3,4,2,3,3,4
tfaP,12,9,7,4,3,4
tfaE,9,7,5,4,3,6
pinE,1,3,4,2,2,3
mcrA,109,85,87,25,22,27
iraM,8,2,13,21,30,37
ymgK,3,0,0,6,4,7
ymgL,2,1,1,13,9,11
ycgX,68,36,68,79,68,88
bluR,1068,954,1389,409,342,394
bluF,900,777,1226,430,433,497
ycgZ,50,31,45,25,12,25
ymgA,25,7,20,5,8,17
ariR,82,18,15,21,19,22
ymgC,34,22,14,12,20,19
pdeG,35,33,34,15,4,12
ymgF,14,19,18,29,19,17
ymgD,109,99,86,1934,1869,2657
ymgG,14,12,16,454,349,568
ymgI,16,18,19,359,325,491
ymgJ,13,6,15,6,8,8
minE,1049,768,769,1191,1060,1276
minD,4128,3014,3041,4859,4037,5245
minC,3500,2954,3187,3383,2962,3664
ycgJ,694,675,878,283,280,323
pliG,132,117,99,389,281,373
ycgL,234,196,279,283,291,335
ycgM,680,518,547,442,391,441
ycgN,374,340,335,323,319,323
hlyE,25,29,21,197,137,187
umuD,147,250,186,31,23,32
umuC,141,168,129,50,47,57
dsbB,391,454,760,500,426,492
nhaB,1486,1522,2245,2450,2258,2621
fadR,1455,1319,2140,2038,1792,2314
ycgB,2247,1995,2622,448,268,344
dadA,2732,2049,3095,719,582,605
dadX,1534,1174,1951,573,492,516
ymgM,180,148,232,158,147,172
cvrA,1126,947,1529,1020,849,1034
ldcA,902,854,1016,464,401,482
emtA,211,221,334,313,295,364
ycgR,66,58,84,115,90,133
ymgE,65,44,51,18,21,31
ycgY,13,14,17,29,11,21
treA,500,363,399,1662,1393,1581
dhaM,4275,3632,3740,4535,3623,3757
dhaL,4461,3714,4020,4734,3831,3881
dhaK,5385,4909,5177,5940,5418,5544
dhaR,509,549,511,266,193,235
ycgV,3028,2731,2157,386,353,495
ychF,464,395,497,1988,1842,2203
pth,461,391,592,1311,1122,1445
ychH,190,179,217,281,273,291
dauA,496,546,787,1339,1290,1587
prs,4935,4481,6755,7192,6338,8213
ispE,1644,1689,2174,2610,2479,2813
lolB,990,814,1429,1624,1398,1747
hemA,1988,1645,2832,5262,4701,5898
prfA,1256,1002,1956,5924,5538,7443
prmC,166,159,287,608,627,946
ychQ,224,223,315,375,382,590
ychA,1108,1164,1344,965,902,1114
kdsA,4276,4231,4984,4318,3742,4429
ldrA,207,220,226,188,161,208
rdlA,69,84,118,78,70,107
ldrB,28,23,28,28,31,33
rdlB,14,22,43,19,12,21
ldrC,30,36,38,51,60,78
rdlC,28,64,55,62,59,63
chaA,860,872,1298,4803,4992,6464
chaB,278,241,375,167,133,175
chaC,632,765,909,386,292,399
ychN,180,169,213,185,162,194
ychO,659,582,1114,438,399,520
narL,688,559,666,1026,938,1131
narX,428,377,573,644,579,660
narK,87,98,108,908,758,772
narG,362,386,412,11299,10085,11416
narH,229,281,279,6810,6148,7594
narJ,97,121,117,2935,2687,3259
narI,61,71,91,1859,1666,1924
ychS,23,41,10,40,26,53
rttR,35,36,22,91,74,103
tpr,0,0,0,0,0,0
tyrV,110,79,148,150,105,161
tyrT,90,62,127,127,91,112
purU,845,566,672,1334,1195,1476
ychJ,1158,883,1064,1940,1762,2259
rssA,1471,1289,1733,2371,1915,2407
rssB,478,398,515,718,570,716
galU,1808,1389,1390,4311,3684,4599
hns,12105,9912,8745,41654,36428,49843
tdk,116,73,112,634,494,716
adhE,233967,279906,400759,62191,56012,69394
ychE,197,207,309,225,209,226
insH21,531,506,634,579,454,539
oppA,273753,211634,213253,70435,56375,74642
oppB,36845,32737,40081,17147,15021,20852
oppC,23513,25621,32930,9769,9233,13270
oppD,29524,33471,42225,8255,7406,10802
oppF,21711,25764,30642,5613,4497,5892
yciU,2936,3035,3492,669,518,681
clsA,1436,1182,1669,902,698,825
yciY,132,178,170,67,61,75
kch,616,588,689,884,714,1001
yciI,506,345,512,273,230,268
tonB,960,1067,1283,157,153,161
yciA,207,222,290,270,266,292
yciB,451,577,737,656,582,765
yciC,1704,1990,2554,2681,2348,2986
ompW,90,101,117,1447,1261,1427
yciE,39,38,34,158,142,164
yciF,36,20,39,50,44,63
yciG,62,75,45,10,9,19
trpA,4267,4077,9832,719,682,874
trpB,2456,2444,5788,572,532,620
trpC,2455,2076,5413,489,473,536
trpD,1813,1556,6699,209,228,268
trpE,1788,1351,11994,124,235,148
trpL,191,211,432,6,4,9
yciV,767,669,868,623,580,691
yciO,630,623,920,1089,937,1157
yciQ,358,316,447,620,549,695
rluB,1251,1070,2155,5573,5520,6113
btuR,452,453,536,412,394,463
yciK,1314,1084,1491,691,648,689
sohB,2290,2008,2474,1451,1229,1499
yciN,893,982,807,1674,1519,1948
topA,4251,3746,6119,12937,12789,15451
cysB,1731,2180,2033,2957,2383,2763
ymiA,90,109,170,51,33,46
yciX,616,436,870,158,129,142
ymiC,120,75,136,54,43,45
acnA,2558,2061,2830,9513,7415,9046
ribA,1214,1119,1337,1866,1595,1979
pgpB,546,460,783,762,634,761
lapA,627,575,777,510,441,541
lapB,832,815,1296,872,726,904
pyrF,1399,1127,1055,2105,1945,2222
yciH,337,239,243,488,435,550
osmB,1113,1348,762,3055,2660,3413
yciT,1029,987,1589,413,327,456
yciZ,662,668,958,161,127,184
pdeR,163,168,197,710,605,784
ymiB,16,14,20,20,25,30
rnb,4968,5235,5567,6891,6302,7942
yciW,2665,3801,1776,338,323,388
fabI,4000,3835,4243,6613,6095,7004
ycjD,46,36,57,41,51,43
sapF,468,480,609,389,358,444
sapD,622,553,950,635,582,719
sapC,305,313,429,300,321,378
sapB,142,149,253,229,206,281
sapA,831,808,1423,1371,1171,1548
ymjA,329,299,523,335,329,325
puuP,120,125,146,61,63,75
ymjE,14,31,48,16,16,12
puuA,338,519,763,103,93,91
puuD,441,540,894,154,134,157
puuR,146,203,313,100,67,120
puuC,177,200,136,56,50,54
puuB,203,323,181,51,61,66
puuE,97,135,83,22,29,43
pspF,147,170,204,240,190,245
pspA,582,1351,4665,392,437,416
pspB,181,353,837,97,97,105
pspC,333,820,1957,232,164,230
pspD,101,221,496,57,63,46
pspE,123,209,369,191,161,155
ycjM,5,17,6,9,12,13
ycjN,5,7,5,5,2,5
ycjO,13,19,14,13,18,16
ycjP,20,25,23,16,20,22
ycjQ,65,49,53,49,39,36
ycjR,32,38,42,38,23,44
ycjS,134,148,223,53,52,78
ycjT,54,69,86,25,23,39
ycjU,9,9,15,3,9,11
ompG,4,5,3,14,8,12
ycjW,53,51,72,146,112,130
ycjX,1193,1264,1563,1711,1885,1987
ycjF,589,564,782,970,1164,1211
tyrR,953,860,1099,2896,2517,2892
tpx,4583,2938,4698,5814,4814,5898
ycjG,1197,1268,1552,921,793,895
mpaA,824,804,1040,401,365,412
ymjC,65,65,75,85,72,114
ymjD,3,1,3,1,3,1
ycjY,153,159,180,181,166,222
pgrR,78,70,105,126,113,115
mppA,452,360,401,942,774,978
ynaI,390,293,375,401,342,391
insH-4,500,540,663,551,478,578
ynaJ,638,513,491,503,513,443
uspE,9196,7598,9427,9244,8176,9167
fnr,9797,8904,11881,8892,7723,9772
ogt,188,180,263,153,120,120
abgT,80,88,133,75,55,88
abgB,115,100,120,47,52,55
abgA,20,34,25,27,24,30
abgR,47,33,36,37,36,51
mcaS,14,13,18,2,5,8
smrA,156,120,216,173,163,172
dgcM,378,325,590,192,168,223
zntB,595,561,701,828,644,757
fnrS,282,319,165,283,228,372
ynaL,125,112,187,49,37,53
dbpA,655,538,1180,1356,1297,1602
ttcA,756,648,971,1358,1221,1524
intR,115,71,145,180,189,258
xisR,3,1,6,3,1,4
rcbA,2,2,1,2,0,2
ralA,0,0,0,0,0,0
ralR,0,0,1,1,0,0
recT,25,28,45,16,13,20
recE,67,65,93,47,31,60
racC,9,11,13,9,2,5
ydaE,2,1,5,13,2,5
kilR,7,9,2,7,11,15
sieB,11,4,18,26,24,29
ydaF,2,1,7,6,5,9
ydaG,10,12,24,34,27,28
racR,1143,868,1092,665,603,799
ydaS,14,21,16,14,12,21
ydaT,20,13,19,20,27,23
ydaU,32,32,40,26,17,29
ydaV,6,8,12,9,3,7
ydaW,60,60,80,26,18,18
rzoR,47,63,47,24,10,15
trkG,280,217,243,158,125,167
ynaK,13,9,25,14,13,10
ydaY,20,18,23,19,19,20
ynaA,54,45,59,23,22,39
insH-5,128,114,116,70,59,92
stfR,86,99,119,50,55,55
tfaR,32,37,39,51,39,56
pinR,173,163,316,202,172,245
ynaE,2101,1755,2155,356,317,464
ynaM,1539,1362,1866,217,205,311
uspF,1069,963,804,2058,1745,1727
ompN,46,49,53,38,30,38
micC,0,1,3,1,2,6
ydbK,817,959,1027,3135,2425,2734
ydbJ,737,734,959,695,549,779
hslJ,741,775,687,2193,2071,2715
ldhA,1808,1506,1298,2342,2012,2344
ydbH,149,147,213,285,209,205
ynbE,70,48,66,92,63,91
ydbL,30,28,41,44,39,47
feaR,69,55,56,21,14,32
feaB,419,472,517,146,104,129
tynA,195,184,259,83,80,114
paaZ,17,34,34,13,25,21
paaA,25,26,26,13,22,14
paaB,4,0,6,2,3,1
paaC,15,12,21,9,10,12
paaD,25,31,39,14,14,13
paaE,37,26,25,8,9,17
paaF,13,13,25,9,10,17
paaG,4,10,7,6,5,6
paaH,25,31,33,9,17,18
paaI,21,18,30,11,11,15
paaJ,68,80,90,18,21,20
paaK,211,194,252,87,96,109
paaX,165,171,204,237,200,249
paaY,33,38,54,53,45,60
ynbG,0,1,0,0,0,3
insD-2,165,156,176,113,66,98
insC-2,128,129,138,79,85,113
insI-2,142,111,175,183,166,189
pdxI,130,103,131,90,81,94
ydbD,19,15,28,32,26,29
ynbA,14,7,9,5,12,8
ynbB,2,1,1,11,4,8
ynbC,86,75,115,41,51,43
ynbD,140,130,177,75,74,89
azoR,428,327,545,269,260,281
hrpA,3293,3463,5783,5800,5401,6821
ydcF,535,627,488,437,406,516
aldA,757,684,597,418,348,429
cybB,396,298,481,1055,865,992
rydC,164,114,206,68,64,86
ydcA,161,145,133,225,200,240
hokB,207,203,229,215,149,209
mokB,337,342,236,264,240,313
sokB,91,76,82,60,67,86
trg,131,161,208,225,185,264
ydcI,688,454,527,228,242,233
ydcJ,142,148,151,48,49,40
opgD,781,710,1076,1236,1095,1551
ydcH,148,125,168,144,143,118
rimL,691,476,630,319,277,377
ydcK,285,221,267,75,37,62
tehA,1694,1674,2880,579,477,660
tehB,1927,1636,2702,428,457,486
ydcL,799,645,1102,268,250,285
insQ,490,440,481,292,289,332
ydcO,113,149,150,90,76,98
sutR,63,77,91,117,87,134
rlhA,423,615,446,1148,1050,1202
yncJ,114,500,112,85,71,103
hicA,171,150,166,99,77,79
hicB,421,408,352,229,217,309
ydcR,360,330,379,399,338,343
ydcS,49,59,55,38,38,42
ydcT,31,36,34,23,23,25
ydcU,96,80,146,59,42,53
ydcV,37,32,71,26,34,35
patD,111,84,146,61,52,50
yncL,160,129,247,72,62,70
ortT,89,87,93,32,30,44
ydcY,933,813,898,565,473,604
ydcZ,693,627,778,191,171,205
mnaT,440,394,495,96,105,106
curA,312,298,386,183,129,145
mcbR,57,33,64,43,25,40
yncD,102,82,136,149,116,129
yncE,5537,4054,6417,223,229,237
ansP,412,332,432,758,689,806
yncG,118,133,176,11,13,14
yncH,5,0,4,3,1,1
ydcD,31,22,33,17,18,12
yncO,14,11,12,9,10,8
ydcC,4,9,7,12,14,32
pptA,95,70,81,47,32,57
yddH,54,33,61,19,22,19
nhoA,326,322,420,157,130,148
yddE,1146,1066,1616,648,627,670
narV,96,100,122,43,26,47
narW,65,75,87,59,43,53
narY,165,157,204,131,156,164
narZ,345,292,384,660,653,907
narU,111,152,157,339,248,336
yddK,6,2,5,3,3,4
yddL,0,2,0,0,1,0
yddG,62,63,88,189,184,187
fdnG,47,41,49,865,848,908
fdnH,63,65,80,191,230,253
fdnI,112,217,185,103,98,114
yddM,1573,2273,2856,605,564,719
adhP,1473,1156,2506,1644,1565,1868
maeA,3028,2455,3125,15835,14271,18433
sra,2062,2180,2895,2012,1712,1838
bdm,60,32,5,106,98,117
osmC,2208,1687,2629,1747,1453,1629
ddpF,161,133,177,97,87,124
ddpD,45,37,52,14,18,14
ddpC,50,40,66,24,14,24
ddpB,17,20,28,10,16,15
ddpA,44,49,64,24,26,26
ddpX,10,4,13,6,8,17
dosP,431,391,456,58,45,77
dosC,734,708,592,592,507,608
yddY,51,47,35,5,0,15
yddW,168,131,238,880,704,915
gadC,10789,6157,21833,67944,54909,71538
gadB,5968,3275,11209,46951,40038,51135
pqqL,219,183,267,211,212,289
yddB,71,69,79,34,25,22
yddA,53,45,79,16,7,16
yneP,6,2,3,0,0,0
ydeM,11,12,11,22,17,42
ydeN,65,47,45,397,266,249
ydeO,6,4,3,7,5,4
safA,0,0,0,1,0,2
ydeP,73,49,71,80,61,95
ydeQ,5,4,2,39,46,79
ydeR,2,0,1,53,51,96
ydeS,0,4,0,63,74,94
ydeT,4,2,2,209,209,303
hipA,126,120,138,195,160,180
hipB,76,68,97,94,96,111
lsrK,120,116,182,63,46,48
lsrR,140,117,158,37,32,32
lsrA,60,49,80,28,28,35
lsrC,47,71,77,24,18,27
lsrD,25,36,42,11,7,11
lsrB,44,46,45,17,19,19
lsrF,66,69,86,24,31,52
lsrG,59,88,70,38,20,45
tam,282,213,317,345,285,345
yneE,490,365,567,316,248,350
uxaB,204,242,271,420,338,367
dgcF,298,309,446,134,131,177
yneG,944,1098,1400,613,541,702
glsB,306,320,583,453,476,525
sad,359,341,434,137,143,158
yneJ,135,110,249,85,79,93
yneK,10,18,23,7,13,8
