Geneid,M9-41T-3,M9-41T-4,M9-41T-5,TB-41T-4,TB-41T-5,TB-41T-6
sapB_1,244,216,233,221,218,243
gmr_1,265,220,223,691,821,886
glpR_2,1120,811,1057,337,423,415
yciS,874,962,658,425,454,478
yciX_1,1104,181,873,49,47,69
yciX_2,246,44,148,21,19,11
topA_1,7105,3626,6443,9749,11156,10987
trpH,803,922,790,508,571,589
ispZ,575,582,421,610,591,656
tonB_2,1406,918,1358,117,148,143
cls,1721,1888,1691,568,659,604
marC_2,273,202,224,125,142,135
hnr,682,647,569,342,336,351
purU_1,1486,791,1359,703,680,754
narX_1,532,388,489,279,353,366
ldrB_1,27,38,44,126,134,137
ldrB_2,25,29,17,47,51,61
ldrB_3,250,258,220,304,361,350
sirB1,1118,1051,1058,1152,1264,1241
sirB2,267,189,213,670,723,740
hemK,242,189,204,896,977,946
prsA,6812,4221,7741,6947,8128,8016
ychM,534,680,477,1553,1786,1839
engD,958,358,906,1709,1699,1748
ycgC,2697,1242,4361,2716,2891,2624
dsbB_2,613,368,500,372,467,383
umuC_1,146,118,124,39,48,38
ycgL2,381,268,401,161,162,157
ycgG_2,57,41,47,6,6,7
ycgF,2325,1436,2310,229,448,499
mlrA_1,1703,1010,1658,216,304,288
icdA_1,6,5,9,2,3,1
lexA_1,182,201,156,198,194,185
icdA_2,12165,10501,16245,1583,2204,2184
ycfC,1265,584,1353,901,1066,1106
ycfD,1816,1736,1834,1634,1857,1833
potA_2,1585,676,1190,2956,3522,3548
lolD_1,455,256,375,616,764,655
ycfU,1335,507,1014,1453,1473,1646
ycfS,424,140,367,727,766,851
ycfF,1026,939,906,514,496,539
ptsG_1,5888,2896,8621,2568,2781,2700
yceG,356,219,256,298,342,360
fabG_1,11077,9534,10826,10239,11700,11206
yhdE_1,750,499,687,253,240,286
mviN,537,242,459,492,480,554
mviM,611,766,692,250,332,297
yceL,155,500,109,73,67,75
moeZ,1245,214,1186,65,111,84
htrB_2,543,381,373,595,662,698
modH,1987,1913,2090,4420,4999,4909
mdoG,1794,1674,1898,3509,3495,3559
mdoC,234,114,168,246,270,325
ymdC,809,749,523,224,299,277
ycdW,505,536,530,368,440,402
ycdT_2,84,228,88,28,29,23
psiH,420,446,812,26,49,65
efeU_1,996,418,1246,23,25,30
efeU_2,365,139,472,4,5,7
ycdC,93,73,100,51,62,75
ycdL,18,32,18,2,9,5
ycdH,15,20,21,4,13,3
wrbA_2,701,3315,456,1038,1288,1093
gnsA_2,113,78,77,150,184,174
insA_1,165,164,140,152,224,210
yjbF_1,15,14,12,11,35,35
ymcB_1,14,13,21,34,38,24
wzb_1,20,14,14,16,11,13
wzc_1,409,503,378,216,223,245
appA_1,446,922,251,131,104,112
yccB,38,113,20,14,11,12
hyaD_1,24,207,26,82,87,70
yccK,247,238,162,287,248,273
yccW,685,520,543,446,514,504
yccV,1251,2445,842,445,553,533
yccR,178,298,184,93,76,109
ycbG,156,228,158,111,126,128
ycbW,1537,998,1148,365,403,467
fimC_1,283,258,228,72,86,102
fimF_2,40,26,30,17,8,10
aufD,12,11,13,5,9,5
fimD_2,53,88,61,12,32,25
ssuD1,18,49,56,5,7,9
aspC_1,11128,6465,11429,2648,2609,2741
ycbL,7266,3064,6545,1617,1770,1879
ycbB,1820,3578,1581,666,815,710
smtA,1012,700,939,730,847,877
ycbC,118,156,112,150,186,161
himD,2873,4150,2636,2294,2518,2613
yggG_1,158,76,149,46,38,51
yetF,178,146,132,62,57,64
focA_1,3334,4267,4237,5319,5514,5534
pflB2_1,38926,124276,60735,80358,80843,78966
ygjI_1,30,58,26,30,36,38
dmsB_3,25,118,20,799,825,750
dmsA_3,148,535,188,4595,5062,4507
lrp_1,2770,1780,2698,835,947,913
macA_1,559,590,509,134,153,121
virK,799,1130,903,2892,3256,3412
ybjE,391,193,339,224,248,263
artM_1,564,382,499,910,1028,965
rumB,288,174,340,198,189,275
potF_2,1198,501,1230,61,93,100
ybjK,62,67,68,41,54,47
cmr,154,139,132,330,425,420
deoR_1,557,562,461,503,623,649
yliJ,1691,1180,1751,283,307,253
ydeH_2,44,22,41,23,40,29
yliE,46,28,48,38,38,57
yliA,1190,2163,1364,276,351,345
pflE,28,26,19,33,39,56
pflF,159,162,144,250,295,272
supH,148,139,168,115,120,124
ybiS,2144,1685,2019,1865,1776,1862
ybiP_1,386,242,430,446,562,526
ompX_1,19277,25892,14195,15514,18959,18985
ybiF,248,103,191,102,81,100
ybiN,215,136,183,211,249,248
ybiI_1,113,143,98,23,27,35
ybiC,851,1168,828,204,277,256
trpD2,804,1367,723,713,819,757
dinG_2,958,982,905,1849,2270,2152
macA_2,209,508,169,243,299,281
ybhF_1,231,333,201,231,308,319
ybhO,291,443,175,25,46,35
bioF_2,3432,657,3157,41,55,54
K,63,103,137,19,23,21
ydfO_2,278,616,444,226,281,345
ybcU_1,786,899,930,3957,4229,5018
O,281,372,422,78,88,101
cI,4607,4585,5425,2510,2624,2987
dmdA,279,265,302,111,150,157
ybhI_1,43,40,49,12,17,16
mii,40,26,34,6,9,8
ybhD_1,124,102,109,25,45,46
modB_1,174,130,157,83,95,93
ybhT,303,293,248,81,70,85
modE_2,645,724,568,501,539,627
galM_2,1085,746,1349,761,1056,1002
pnuC_2,1981,2220,2777,84,96,114
ybgF,6149,3624,6410,3934,4403,4879
ybgT,1128,1405,1076,419,494,524
fruA_1,42,37,35,23,23,26
yidP_1,205,145,205,202,196,243
sucD_2,2414,3133,6889,1120,1360,1211
sucC_2,3064,2827,8177,1625,1938,1904
sucB_2,3450,3216,9218,2037,2540,2339
sucA_2,6210,4833,15988,2837,3776,3699
smfA,18,19,14,4,10,6
papC_1,87,76,83,27,29,39
ybgL,955,923,1025,346,404,424
kipI,1299,1403,1348,357,451,403
phrB,821,434,506,208,269,271
kdpE_1,97,83,102,60,67,59
speC_1,128,72,74,41,51,55
nagE_1,936,1446,1215,1047,1375,1283
nagB_1,569,592,474,568,711,685
nagD,1840,1148,2023,1554,1648,1792
corC,2903,2601,3255,3907,4939,4977
podJ,6,5,4,6,3,3
rlpB,1958,1370,1931,1693,1883,1947
phpB,297,163,274,282,347,365
ybeB,1035,490,1056,1339,1448,1654
ybeA,674,253,708,952,1119,1175
ybdO_1,164,145,120,89,124,110
ybeM_1,118,110,120,32,48,36
ybeM_2,68,69,102,29,26,23
crcB_1,183,281,131,248,253,245
dcuC_1,219,517,429,918,1360,1138
citA,205,207,180,148,141,167
citT_2,80,89,58,299,324,455
ybdO_2,44,20,52,9,10,10
ibrA,38,22,40,16,21,14
gldA_1,294,538,421,173,191,164
mbtH,718,378,735,2,11,10
fes_1,2507,1184,2687,27,64,51
fepA_2,18221,5087,19200,146,284,263
E873_1,186,108,152,43,75,74
insL_1,702,509,661,796,1199,1113
srnB,116,48,45,15,16,25
yjbR_1,211,350,231,102,122,140
adiY_1,98,84,93,19,17,33
ompT_1,1723,1685,2682,1178,1150,1307
ybcU_2,114,140,155,660,721,826
nmpC_1,156,631,883,116,206,187
rusA_3,4,2,4,0,1,1
fimA_1,4,10,6,7,2,5
arcC_1,148,47,149,25,29,18
fdrA_2,20,8,11,6,2,6
allD_2,5,5,11,9,10,8
ylbB,82,74,81,37,34,40
ylbA,144,150,140,53,77,60
ybbZ,86,54,51,20,26,30
allS_2,13,26,17,4,16,14
ybbC_1,17,12,13,5,10,4
lolD_2,578,314,523,229,335,293
acr1,687,571,617,357,412,417
ybbN,1316,1399,1107,846,988,1030
ybbM,123,165,98,115,138,142
ybbL,168,225,160,291,330,314
ybbK,451,900,423,373,501,476
glsA1,408,1631,96,78,88,80
aes_2,65,109,60,74,68,71
kefA,1641,1335,1566,1692,1877,1948
acrR_2,1017,711,886,415,438,480
acrB_1,7895,6363,7165,6997,8226,7716
ybaJ,1840,1330,1502,633,960,972
yjcC_1,248,313,231,159,221,170
ybaA_1,87,62,61,39,54,45
ogt_2,194,163,138,35,50,36
glnK_1,24,194,33,24,33,28
lrp_2,205,119,157,144,121,137
cof_1,656,468,524,237,284,292
ybaW,136,110,96,48,61,59
thiJ,522,753,578,337,443,386
iolS_2,1208,1694,957,441,582,538
ribH,2171,1365,2092,1728,1702,1738
ybaD,1021,942,1019,702,803,806
yajB,423,228,399,156,149,176
mak_2,154,122,121,111,112,136
adrA,125,51,98,75,102,89
yaiV,13,5,8,13,10,5
prn_1,224,229,230,90,58,80
prn_2,126,86,94,33,34,38
icaA,25,38,27,5,16,7
orf231_2,163,159,138,57,66,66
orf230_2,122,126,116,69,67,92
glmU_1,2,0,3,3,1,1
adhC,657,464,600,634,798,774
rhtC_1,15,53,9,46,55,61
rpmE2,10,1421,22,32,14,19
rpmJ_1,18,922,15,16,17,23
insA_2,112,207,114,129,157,152
yicJ_1,18,32,29,20,37,35
insA_3,139,235,99,140,183,160
fbpC_1,61,94,59,50,79,94
ykfA_1,170,157,164,85,107,125
ykfB_1,395,432,341,144,182,147
prfH,89,47,78,88,79,94
rtcB_1,7,5,3,2,3,1
motB_1,22,24,17,14,19,9
gmhA,2306,2221,2393,1008,1079,1103
ramA,529,571,433,237,339,306
dmlR_3,172,201,148,76,119,112
gmhB_1,1318,1189,1251,1074,1147,1161
yaeB,741,396,734,673,740,773
cutF,304,348,209,228,265,226
yaeJ,294,321,221,302,353,332
yaeT,14017,9491,13709,13459,15906,15563
yaeL,3125,1564,2356,2293,2856,2569
uppS,3306,1357,2340,1563,1835,1751
htrA,768,752,1381,3551,3837,3842
yadR,1563,1785,1430,825,958,949
fhuD_2,752,504,858,84,163,151
yadP,100,68,91,60,68,78
yadB_1,219,162,177,237,326,303
focC_1,16,18,14,9,11,15
htrE_1,37,59,25,31,28,28
yadD,203,146,189,55,68,65
icaB,353,211,341,227,241,272
manX_2,139,314,166,90,147,112
drrA,1015,832,954,789,877,864
yadF,5572,1856,5303,1148,1465,1420
yacC_1,1759,876,1786,441,465,512
lpdA,12963,16199,15058,19183,23234,22640
pdhR_1,1965,1154,1665,591,1060,1076
guaC_1,2207,686,2553,966,1013,1069
mraW,1491,1687,1987,1659,1899,1896
yabB,1104,1092,1326,1080,1327,1352
fruR,740,1000,879,987,1303,1179
ilvI_1,2898,1740,3517,71,114,113
setB_1,250,205,239,97,101,96
tbpA,126,71,86,235,256,297
imp,9883,5819,9848,5975,6788,7012
pdxA_1,2235,888,1874,1659,1986,1903
ksgA,2079,1029,1597,1809,2215,2072
ygcS_1,14,15,9,10,7,5
caiT_2,32,20,28,17,12,11
caiA_2,52,117,50,134,167,139
caiD_2,4,13,10,31,46,61
caiE_2,22,33,27,34,51,40
insB1_2,160,198,156,79,101,104
E873_2,65,93,76,96,187,180
insL_2,698,621,666,898,1420,1369
dnaK_1,4435,17126,4771,15364,24707,22636
yaaH,232,305,221,239,278,336
tal2_1,10298,10424,11191,11786,13160,13047
creC_1,217,161,197,112,159,124
gpmB,507,332,446,279,343,350
yjjK,3088,1658,3240,3091,3445,3320
nadR_2,872,653,883,489,599,613
sms,822,267,851,523,703,658
smp,262,174,251,182,215,178
csdA_1,55,72,48,191,219,180
yjjV_2,525,461,561,213,252,213
osmY_1,1896,1361,986,357,422,468
dnaC_2,548,337,499,432,514,576
mdoB,378,267,430,1470,1728,1778
tdh_2,30,15,29,35,33,52
yjjL_3,213,190,157,79,110,95
tsr_1,51,50,58,28,32,32
yjiY,274,4362,511,10444,12714,10789
yjiA_1,498,402,584,1375,1393,1300
yjiE,348,289,331,295,409,380
fimH_2,79,149,98,74,70,82
fimA_2,43,76,47,36,50,56
fimF_3,43,77,50,51,75,59
fimD_3,146,217,188,191,246,246
fimC_2,104,106,134,112,110,176
fimA_3,302,401,378,252,284,298
fimA_4,3088,7220,4599,1830,2011,2170
xerC_2,163,344,272,46,81,92
yjhT,41,65,43,16,12,35
yjhS,85,66,40,28,23,35
sgcX_1,119,155,111,61,66,76
gatB_1,22,18,8,10,11,11
gatC_1,47,36,40,25,31,27
ulaC_1,48,50,41,22,29,41
rpe_1,67,61,59,34,24,44
glcR_1,52,52,47,12,18,14
kdgR_2,6,8,8,9,16,15
deoR_2,571,650,489,518,666,654
fecA_2,1927,1314,2543,98,128,104
yjhV,29,18,20,7,8,4
insO,17,10,10,12,3,7
nanT_1,51,42,48,12,19,17
ybiP_2,30,23,27,13,24,21
ybiP_3,556,653,591,363,472,466
orf231_3,148,168,158,44,79,72
orf230_3,135,109,120,74,75,88
yjgB,534,439,292,117,114,122
lptG_2,1281,973,1091,978,1125,1052
lptF_2,1393,1018,1191,1216,1507,1425
pepA_1,2470,1674,2523,2288,2955,2897
tabA_1,237,493,284,256,299,253
fabG1,75,45,61,47,51,64
cybC,439,428,324,378,321,314
rbsA_1,116,179,119,53,56,57
ytfJ_2,55,130,69,66,85,76
ytfG,112,128,147,56,64,60
ytfA,49,41,37,8,22,19
ulaC_2,22,18,19,16,18,12
sgaB,16,18,13,26,17,25
gsp_1,45,34,42,13,21,19
rlmB_1,913,680,842,1904,2243,2132
nsrR_1,1234,916,1152,1306,1454,1491
hflC_2,2866,1827,2382,5025,6665,5916
yjeS,594,394,480,302,379,407
yjeP,912,616,865,961,1145,1122
yjeA,150,155,133,435,476,520
frdA_1,602,5526,1283,19610,23098,20913
sugE,228,204,137,68,90,116
kamA,1069,329,949,607,694,723
dipZ,1276,593,1312,610,694,679
yjdL,96,90,80,49,71,54
lysS_1,476,1057,531,4167,4291,4063
yjdK,11,16,7,33,44,30
adiA_1,180,280,153,128,154,131
adiY_2,27,274,39,169,216,195
yjdB,50,43,39,17,24,32
proP_2,8150,13060,6044,24833,29918,29219
yjdA,353,439,390,79,116,111
phnB,182,204,98,7,9,11
phnE,4,1,6,1,4,2
rpiR,400,531,604,211,236,262
rbsA_2,37,38,50,21,24,18
yjcU,32,17,45,21,12,12
mdtP_1,22,32,20,17,29,29
fdhF_2,152,1023,155,4594,4446,4078
ccmF_1,25,22,19,129,188,168
pipB2,9,3,4,0,0,2
nhaK,377,674,369,330,427,345
yjcD_1,1533,413,1637,65,98,90
soxS_1,297,196,299,60,109,88
yjcC_2,85,70,101,11,22,18
ssb_1,1431,1189,1252,782,904,830
yjbR_2,339,702,383,207,221,219
dnaB_2,2132,1060,2214,1491,1817,1782
qor,1310,2124,1049,319,415,375
yjbK,620,688,592,447,540,526
lexA_2,3069,2550,2677,2232,2705,2533
sopA,23,10,19,16,17,12
ymcB_2,6,7,11,4,7,9
yjbF_2,11,5,12,5,11,4
yjaB_1,19,11,11,33,38,34
zraR_1,195,190,179,221,296,243
tufA_1,23663,16132,26280,26145,30506,29976
oxyR_1,5829,1698,4199,733,821,815
argE_1,2369,1450,2645,448,524,519
yijP,1716,1099,1660,749,903,841
ypdC_2,134,117,158,51,75,84
frwB_1,15,22,11,6,13,5
ptsA_1,39,57,34,30,64,57
gldA_2,69,591,126,385,389,331
cytR_1,703,455,968,586,704,679
glpX_1,359,247,364,628,732,703
sbp_1,77,2457,365,77,87,89
rhaS_1,16,15,28,6,6,10
yiiL,9,25,20,4,4,6
fruA_2,12,14,7,5,3,2
fruA_3,13,16,16,9,15,10
sgcX_2,38,31,32,20,28,33
manR,24,50,39,27,40,32
rbn_1,442,528,411,274,309,253
rbsK_1,36,54,38,22,24,30
yihP_1,28,27,26,18,26,24
yihP_2,17,30,14,7,15,18
yvoA_2,115,108,105,40,60,59
typA_1,15842,7263,15613,24631,28581,27727
hemN_1,1160,1131,1164,887,1069,1089
engB,1214,756,1339,893,913,985
rdoA,1533,729,1307,2094,2425,2612
trkH2,1034,685,815,689,980,824
yigM,980,451,973,121,163,141
cof_2,853,610,986,564,604,639
rhtB_1,926,575,840,77,60,80
rhtC_2,938,586,863,124,146,170
yfnB,618,327,562,491,589,562
xerC_3,1107,634,1119,710,858,788
wecF,385,332,321,310,412,349
rffA,649,821,595,846,1010,866
rffD,1322,914,1206,2417,3092,2827
rffE_2,1081,586,1165,2008,2463,2345
trxA_2,4598,3978,4523,2489,2739,2855
gppA_1,3045,1881,2811,2443,2931,2837
gltC,373,360,355,250,300,316
ilvG_1,1207,3413,1655,41,53,64
ilvG_2,7563,17453,8962,174,210,231
comM,99,125,110,85,127,92
yifE,580,582,608,246,332,310
pdhR_2,773,1296,699,1051,1362,1249
rbsK_2,463,468,670,358,531,438
rbsB_1,586,421,1468,813,1078,950
rbsC_1,238,122,550,343,418,333
rbsA_3,220,333,764,529,573,473
gidA,2441,862,1987,2606,3416,3289
gidB,523,298,481,517,654,651
glmU_2,3467,1637,4079,4111,4935,5006
bglH_1,12,10,20,9,9,6
bglH_2,5,13,9,6,9,6
nagB_2,37,47,24,14,16,22
purP,2925,990,2768,719,837,806
azr,513,622,524,414,565,492
trmE_1,666,542,695,1479,1823,1689
oxaA,5045,2106,4501,11783,13276,13184
dnaA_1,5262,3338,4377,5828,7150,7006
dgoA_1,23,25,21,10,17,9
hslS,41,191,85,270,617,557
yidP_2,14,10,17,6,5,12
celF_2,65,32,40,17,13,17
aglB,13,9,18,1,2,3
betC_2,67,79,60,18,25,21
ade,124,160,141,220,336,282
yicO,19,18,8,20,43,36
setB_2,12,11,11,1,6,1
yicJ_2,54,61,56,28,30,40
yicE,1778,424,1289,27,78,82
spoU,385,225,354,455,543,557
ligB_1,105,128,99,63,53,56
coaBC,1151,722,1148,918,1050,1012
radC,851,651,777,1191,1384,1368
kdtA,756,220,543,540,688,651
rfaQ,1236,1473,1189,945,1151,1138
rfaG,768,874,696,538,667,652
tagE,453,667,419,546,580,608
waaI,433,726,390,387,423,446
rfaJ,427,701,352,285,255,327
rfaL,660,883,589,450,469,524
rfaC,645,551,607,425,466,469
rfaF,1377,1095,1411,799,955,1007
tdh_3,387,396,358,694,1029,836
hyaD_2,62,61,69,42,46,59
yibP,1309,647,1262,1097,1309,1258
gpmI,6007,5922,8270,7294,8088,7526
lctD,144,127,201,43,58,78
yibH_2,36,75,44,11,12,12
yibA_1,35,74,27,22,22,30
adhB,11,9,12,21,29,20
yibH_3,41,41,52,23,26,29
dmlR_4,174,151,141,100,103,96
mipA_2,10,10,9,7,3,7
siaT_1,11,13,7,6,5,8
yiaM_1,0,3,1,1,2,1
dlgD,10,17,14,7,4,5
aspC_2,1601,561,2099,360,483,546
yiaH,63,46,55,27,33,36
pndA,24,17,23,287,307,381
tkrA,2474,749,2979,443,566,546
yiaD_1,111,61,73,315,386,375
yjaB_2,121,168,114,52,54,70
eptb,1163,488,970,950,1153,1086
dppA_1,13201,7925,17257,156,209,218
dppB_1,968,436,1039,19,26,22
ldrD_1,87,78,61,29,25,31
yhjT,147,137,139,43,55,38
bscA,113,59,86,51,75,79
yhjN,99,82,109,98,127,119
yhjM,60,49,48,46,68,65
yhjK,556,293,478,380,416,432
yhjH,17,12,13,5,4,8
yhjE_2,654,1019,1047,13,28,18
dmlR_5,97,33,96,19,29,24
gadB_2,1151,7604,402,254,144,216
gadW_2,592,1445,403,139,225,231
yhiE,1070,3619,239,15,28,24
sapB_2,162,524,41,16,18,22
slp_2,749,2977,195,42,46,55
yhiS,26,19,23,9,11,13
yhiR,1002,770,939,1168,1377,1392
yhiQ,146,111,112,157,174,181
uspA1,7892,15120,9292,3014,3662,3476
macA_3,149,450,130,209,235,232
ybhF_2,84,249,87,215,290,298
yibA_2,10,8,8,14,15,21
ybbC_2,7,6,2,2,8,7
yhhT_1,379,435,267,71,92,83
yhhK,150,96,178,136,166,183
insB1_3,100,122,97,54,66,72
hcpA_5,3,2,6,0,3,9
glpR_3,253,273,287,311,397,397
qseF,104,66,76,83,114,94
rtcB_2,48,68,53,40,48,37
gntY,4131,3196,3375,1233,1581,1622
gntX,431,393,428,437,581,508
yhgG,576,2295,801,112,146,121
pckA,1482,4945,3332,3940,5916,4766
yrfF,680,902,772,867,1090,1015
mrcA_1,1198,455,1020,1071,1211,1208
yrfD,81,74,46,30,36,23
rpe_2,1213,1463,1521,918,1125,1052
php_1,41,30,42,27,22,23
pabA_1,236,156,165,120,140,133
cfxP,1220,950,1162,388,487,498
fusA1,61291,44467,69254,74174,95233,87949
tufA_2,54722,50335,62470,39754,47435,45327
yheK,134,105,109,51,76,82
xcpW_1,29,41,16,13,11,12
gspH_1,4,10,6,3,9,6
pulG,14,17,11,6,9,13
gspF_1,49,41,41,22,42,35
gspE_1,29,38,42,32,41,50
pulD,73,88,78,65,78,69
outC,17,17,17,13,12,10
pinO,34,30,34,28,23,22
rpmJ_2,12665,16116,13485,15724,18954,18443
yhdL,114,128,94,32,17,27
topA_2,1191,1397,1327,563,699,667
rimN,831,573,801,548,728,739
artM_2,55,91,51,24,33,31
yecS_1,33,51,29,20,35,30
dus_3,7856,2774,6440,6527,8018,8044
yhdH_2,304,396,338,311,309,259
yhdE_2,489,253,398,278,405,367
aaeB_2,142,156,127,94,122,138
ycfR,74,107,54,431,560,556
mdh_1,2338,2065,3815,1339,1719,1684
degS_1,790,310,742,284,320,303
degQ_1,1047,888,886,315,343,326
yhcB_1,2328,2286,2364,1085,1304,1246
yhcM_1,707,270,610,221,274,269
dcuC_2,112,51,103,50,59,54
nanT_2,56,59,59,35,60,45
yhcJ,61,57,79,37,47,36
gltF_1,91,114,82,32,29,31
caf1A,210,182,210,95,97,98
gltF_2,283,258,338,69,65,66
gltD_1,11365,9944,12498,1212,1454,1391
yhbL,587,1001,628,325,414,403
ptsO,319,237,314,113,115,108
yhbJ,2089,2611,2185,1340,1667,1491
yhbH,1640,2347,1604,740,919,890
yhbN,1616,1716,1595,1786,2081,2064
kdsD_2,1054,752,971,636,743,778
yrbF,1491,1242,1545,3054,3814,3775
yrbA,595,279,581,431,527,528
ftsJ,1856,2296,1361,1866,2297,2276
deaD_1,19613,10316,11372,48472,59791,56680
limB,229,223,198,92,109,117
yhbU_2,48,122,64,756,848,708
osmY_2,692,649,752,537,604,560
lpfC,327,278,250,96,108,126
lpfB,7,6,8,3,7,6
lpfA,30,29,27,7,11,21
agaC_2,19,9,17,10,10,12
agaY,15,22,36,14,23,14
agaA,13,20,23,6,7,2
agaW,6,8,9,2,9,6
agaZ,33,38,52,21,35,24
garR_1,52,75,46,98,144,130
tdcD_1,9,12,10,1846,1627,1277
yhaO,119,151,120,104,137,123
yhaM,113,109,104,124,134,129
allS_3,513,215,463,209,260,269
yhaH_1,25,25,13,10,6,11
yhaH_2,338,329,194,136,184,151
yqjF_1,67,60,47,86,123,107
exuT_1,234,268,173,230,249,280
afr,468,509,577,352,469,386
ygjO,457,179,388,701,883,880
ygjN,39,15,29,26,28,48
fadH_1,34,396,206,38,48,43
ygjI_2,8,18,7,38,44,37
air,125,62,129,46,50,54
yqjI,280,229,321,128,187,175
yqjH,1221,340,1211,49,77,67
gcp,809,276,612,598,707,654
dmlR_6,31,56,27,25,32,40
uppP,268,217,229,316,306,333
hldE,1283,798,1203,725,998,894
papC_2,90,61,75,28,42,33
orf231_4,157,143,142,61,72,70
orf230_4,126,118,133,69,76,63
yqiC,854,706,690,284,306,283
ygiE,1270,1073,1282,285,357,342
gsp_2,2171,1259,2023,3388,4060,3915
icc,1729,2118,1844,1193,1568,1462
sufI,1585,827,1527,1421,1802,1748
lpp_2,37,34,27,23,33,32
yghZ,147,794,387,420,599,476
clcD_1,37,52,27,4,3,2
clcD_2,35,37,29,3,4,7
clcD_3,45,51,43,5,3,5
hyb0,52,1087,99,7917,10147,9209
gsp_3,2060,3082,2452,868,963,915
glcB_2,594,1052,2255,340,561,399
epsC,47,8,32,32,40,41
speC_2,853,362,1029,460,508,534
nupG_1,260,419,232,267,455,369
trmB,502,303,362,286,338,312
hemN_2,405,248,434,587,692,685
sprT,109,37,93,86,77,89
metK_1,559,1872,1055,2072,1984,2185
yggG_2,251,564,270,271,354,328
tktA_1,8930,6176,13031,10732,12569,12159
adhT,22,29,20,17,22,16
glpX_2,15,14,11,9,11,7
yggD,357,386,355,195,269,218
frcK,347,312,258,153,241,204
fba,15882,21831,23414,9495,10226,9692
scpA_1,60,75,54,75,52,85
caiD_3,29,30,43,36,45,33
scpA_2,79,65,83,121,121,107
iciA,1533,1157,1424,361,458,453
serA_3,22660,14017,25139,709,940,960
ygfA,2300,1998,1835,818,998,959
pepP_1,3088,4067,3249,3182,3864,3723
visC,1107,1065,1028,1109,1337,1200
ygfY,461,516,412,659,716,670
xerD_1,516,364,455,513,669,640
lysS_2,5522,3973,6283,7412,8230,8081
ygfU,15,15,5,259,404,299
yjcD_2,65,43,45,128,119,117
ygfP,76,105,83,263,202,207
hcrA_1,194,197,216,3993,3668,3278
gltD_2,102,118,132,7347,9857,8072
ygfJ,63,151,56,243,278,276
arcC_2,92,126,99,406,345,315
argE_2,30,40,75,3048,3117,2690
dpaL,36,47,51,2358,2872,2413
hcrA_2,116,146,157,2162,2925,2375
orf230_5,140,116,108,60,87,85
orf231_5,137,152,152,59,74,69
uvrY_1,2,2,3,6,2,2
kdpE_2,11,8,7,6,6,1
sicA,1,2,1,3,5,3
marT,244,49,130,49,60,58
kduD_1,47,73,62,23,28,48
cmpR,118,88,155,101,96,87
ygdR_1,145,435,129,165,217,204
ygdQ_1,532,340,454,452,577,611
nudH,1848,1709,1903,1376,1532,1564
amiC_1,871,247,596,1119,1337,1352
ygdL,353,250,292,258,306,317
ygdK,294,220,275,263,414,384
csdA_2,636,444,567,981,1268,1183
ygdR_2,270,1148,222,444,580,620
gcvA_1,282,240,258,133,197,165
mtfA_1,561,403,499,635,767,823
fucK_2,74,53,54,45,67,70
fucA_1,19,44,32,27,22,37
exo,123,174,138,194,227,221
ygdH,3735,4364,3881,3054,4385,3799
mioC_2,337,496,308,204,290,246
rumA,645,804,738,706,874,922
eno_1,42629,49091,45946,20198,22755,22262
lsrK_2,52,59,54,13,43,32
kduD_2,5,6,4,3,3,3
ygcS_2,22,12,18,8,18,8
etfB_2,21,13,6,11,8,12
ygcM,144,54,142,229,261,261
SBOV29751,37,43,24,26,21,31
SBOV29741,42,54,26,17,25,12
SBOV29721,35,77,50,25,31,37
ygbB,214,129,179,314,410,345
surE,552,458,618,935,1139,1059
fucA_2,43,25,30,19,15,21
garR_2,46,18,38,21,20,22
glcR_2,115,202,147,98,120,129
fhlA_1,242,234,197,544,751,722
hycB_1,9,144,8,780,736,673
hycC_1,30,96,30,957,852,693
hycD_1,9,95,17,819,814,733
hycE_1,46,150,56,2189,1917,1721
hycF_1,21,51,21,742,673,657
hycG_1,37,66,25,833,706,681
hycH_1,30,50,32,259,216,255
norW_1,65,82,67,69,77,60
srlQ,139,148,197,142,192,166
srlM,41,47,37,29,49,40
ygaD,258,117,225,179,203,204
emrB_1,393,303,386,398,464,426
ynfM_2,112,42,98,101,146,145
ynfM_3,46,19,41,108,114,110
proV_1,1205,241,816,1744,2420,2551
ygaW,2305,4747,1749,135,141,167
ygaU,453,566,228,68,92,71
ygaF,435,469,387,55,73,56
amyE,3,3,5,3,0,2
ykfB_2,52,47,26,8,17,22
ykfA_2,41,40,36,23,37,16
yfjG,320,255,321,198,220,254
smpA,1418,1033,1274,797,718,879
ppnK,732,822,839,418,459,467
corE,691,392,619,288,284,275
yfiN,469,505,409,555,737,697
yfiR_1,433,822,427,289,342,394
aroF_1,652,1063,1015,377,605,533
yfiO,4459,2502,4133,2949,3206,3346
yfiH,1073,686,972,1260,1450,1414
citH,8609,7367,8830,1804,2473,2409
pka,572,1372,906,841,1083,877
rlmB_2,1144,445,887,1120,1173,1076
pflB2_2,1352,21080,3713,3690,3741,3619
rhtB_2,91,164,118,72,83,72
cysL_1,252,136,183,101,128,126
deaD_2,1139,627,924,1585,1898,1834
frdA_2,2050,1655,2488,118,125,126
typA_2,4541,2099,4276,4879,5595,5750
trmE_2,1768,1088,1459,2210,2742,2572
fliY_1,262,125,187,201,219,225
creC_2,457,356,396,258,251,265
zraR_2,474,320,452,272,357,339
glnK_2,777,475,768,240,261,274
