Geneid,M9-41T-3,M9-41T-4,M9-41T-5,TB-41T-4,TB-41T-5,TB-41T-6
feoA,2553,11576,3090,1264,1439,1399
feoB,9459,32832,11618,2403,3234,2761
feoC,602,2281,832,109,151,126
rpnA,132,118,119,76,79,82
bioH,585,377,549,352,475,443
yhgH,440,349,428,395,549,547
nfuA,4217,3137,3327,1285,1610,1638
gntT,416,590,583,559,564,650
malQ,1730,3430,2810,1717,2180,2139
malP,3795,5687,6811,4124,4727,4864
malT,3820,4548,7239,3865,5397,4364
rtcA,183,194,191,77,99,101
rtcB,56,63,59,44,44,53
rtcR,134,140,129,125,185,182
glpG,652,492,691,787,956,928
glpE,597,322,727,181,222,248
glpD,483,4205,1970,13359,21725,19358
yzgL,59,63,45,106,183,207
glgP,8995,9084,7088,3637,4345,3770
glgA,8576,9207,7147,3060,3788,3373
glgC,6854,10545,6414,2793,3671,3118
glgX,5192,5460,4477,2113,2587,2254
glgB,14043,15481,13850,3648,4681,4105
asd,20898,16442,22798,2947,3703,3421
yhgN,429,282,445,198,217,221
gntU,226,140,227,185,208,207
gntK,92,58,83,109,60,112
gntR,1384,1227,1201,1009,1251,1262
yhhW,1140,1238,1044,344,436,410
yhhX,3220,3187,2861,1143,1425,1392
ryhB,444,370,330,7,6,5
yhhY,81,137,100,67,87,92
yhhZ,3,4,3,4,3,2
insA-6,156,291,167,124,138,151
insB-6,112,137,88,70,72,76
yrhD,15,18,12,2,3,2
yrhB,76,140,76,63,101,102
ggt,2489,778,967,113,144,125
yhhA,399,1004,308,223,226,236
ugpQ,636,643,569,201,186,242
ugpC,359,269,320,71,111,122
ugpE,63,58,102,15,16,17
ugpA,104,80,96,13,16,15
ugpB,402,923,445,18,24,27
livF,1129,1496,1423,23,43,34
livG,2853,3949,4090,45,51,69
livM,3746,4563,5345,39,66,63
livH,3261,4667,5100,28,43,42
livK,6592,10455,10100,46,102,96
panZ,163,79,211,154,207,195
livJ,22905,1606,20549,120,150,196
rpoH,5912,8022,6491,11095,13368,13540
ftsX,2087,1439,1932,1656,2100,1961
ftsE,1327,1081,1227,1159,1458,1327
ftsY,2142,1634,2006,2050,2370,2482
rsmD,524,493,514,408,442,490
yhhL,279,302,296,214,252,282
yhhM,98,73,109,47,38,63
yhhN,1111,679,968,346,468,433
zntA,2033,1211,2971,903,1075,954
tusA,473,297,466,179,280,268
yhhQ,7422,515,1901,568,657,640
dcrB,2907,1565,1604,1448,1945,1850
yhhS,1060,924,996,531,623,569
yhhT,380,417,253,68,81,80
acpT,1730,1056,1279,700,747,786
nikA,160,124,219,1166,1284,1200
nikB,72,43,89,656,856,780
nikC,36,39,33,376,448,380
nikD,71,79,68,452,564,555
nikE,132,98,122,583,759,701
nikR,530,279,519,419,506,454
rhsB,298,278,269,318,419,415
yhhH,3,9,7,6,6,6
yhhI,15,20,11,27,34,51
yhhJ,84,110,90,122,154,137
rbbA,93,244,90,221,269,250
yhiI,133,436,108,209,254,245
yhiJ,40,40,35,28,32,19
yhiM,175,1022,98,57,60,64
yhiN,282,204,243,175,295,286
pitA,9051,2675,6117,4348,5687,5202
uspB,763,2254,498,137,144,110
uspA,7833,15187,9488,2917,3703,3424
dtpB,665,1277,518,1838,2323,2069
rsmJ,160,122,103,139,221,159
prlC,3602,3411,3161,2224,2954,2738
rlmJ,997,739,889,1132,1354,1426
gor,3409,3875,3586,3456,3768,3523
dinQ,860,1528,1194,432,457,442
agrA,75,98,58,91,96,72
agrB,34,17,12,3,3,3
arsR,14,17,15,15,8,14
arsB,42,60,45,18,28,26
arsC,73,81,63,13,25,30
insH-11,646,808,719,429,529,539
slp,751,3028,202,48,38,55
dctR,240,738,79,13,15,17
yhiD,172,627,48,20,12,21
hdeB,1795,11288,402,230,189,245
hdeA,5198,42388,1438,1182,963,1343
hdeD,1536,9991,371,333,257,437
arrS,496,1837,179,14,12,8
gadE,1142,3933,251,27,25,30
gadF,208,436,47,6,6,9
mdtE,394,817,191,74,67,83
mdtF,1105,2815,547,328,380,439
gadW,558,1346,429,147,221,213
gadY,189,308,108,31,47,48
gadX,3264,5336,2556,414,672,697
gadA,1134,7782,432,263,156,199
ccp,119,132,113,1033,187,225
treF,926,2316,635,101,133,125
yhjB,202,266,150,48,61,66
yhjC,87,29,88,16,28,29
yhjD,576,594,420,87,116,98
yhjE,675,997,1065,18,31,24
yhjG,516,389,293,35,41,42
pdeH,16,16,15,3,11,7
kdgK,592,486,613,435,481,447
yhjJ,1717,1193,1552,1615,1884,1713
dctA,535,8223,1841,1017,1819,1528
pdeK,536,292,515,357,373,383
bcsC,821,896,699,376,520,448
bcsZ,51,39,54,50,61,52
bcsB,116,85,112,110,131,121
bcsA,115,67,99,71,90,79
yhjR,355,302,331,40,51,72
bcsE,3099,3134,2935,811,1115,1006
bcsF,159,148,136,48,48,57
bcsG,1286,979,1109,380,564,505
ldrD,77,66,66,17,20,20
rdlD,76,60,29,11,28,24
yhjV,700,343,627,736,834,917
dppF,1405,702,1539,152,250,219
dppD,1924,965,2154,116,163,148
dppC,1011,455,1185,53,72,63
dppB,964,452,1105,23,31,27
dppA,13479,8103,17318,165,220,206
proK,14,8,14,10,2,3
eptB,1166,478,931,878,1137,1127
yhjX,274,17061,555,5822,5445,5942
yhjY,540,910,442,158,195,199
tag,529,718,581,250,373,350
yiaC,160,172,116,50,70,66
bisC,1754,1266,1695,649,898,783
yiaD,125,57,96,255,371,342
ghrB,2487,743,2875,424,594,570
yiaF,2218,1429,1893,1021,1169,1204
yiaG,1744,748,915,49,71,80
cspA,52058,26624,37733,119556,140466,141862
hokA,32,19,36,270,305,382
insJ,85,51,57,449,622,564
insK,23,10,13,142,230,203
glyS,12780,11262,13365,16731,19746,18633
glyQ,5073,3305,5272,6560,7379,7260
ysaB,54,37,43,24,14,23
wecH,58,49,53,24,34,29
yiaA,19,34,20,8,6,14
yiaB,27,23,15,3,4,13
xylB,415,558,358,142,206,193
xylA,238,299,201,79,125,109
xylF,12,51,23,10,5,3
xylG,103,111,95,26,26,29
xylH,97,64,89,38,45,35
xylR,627,431,625,208,233,256
bax,2501,1650,2095,2920,3342,3513
malS,592,707,787,399,432,378
avtA,1542,545,2013,387,481,480
ysaA,282,288,380,429,468,475
yiaJ,500,273,557,226,235,251
yiaK,17,27,21,5,8,3
yiaL,2,2,4,1,0,1
