Geneid,M9-PCU1T-1,M9-PCU1T-3,M9-PCU1T-2,TB-PCU1T-6,TB-PCU1T-5,TB-PCU1T-4
nuoH,349,346,293,3253,3121,2593
nuoG,1330,1424,1072,11989,13122,11683
nuoF,229,190,147,4124,4115,4234
nuoE,355,259,227,5647,5599,5221
nuoC,1280,887,920,25835,25821,24102
nuoB,707,438,499,10733,10635,10271
nuoA,793,515,539,8702,8997,8672
lrhA,1205,1135,1199,2268,2895,3086
alaA,508,369,421,427,470,446
yfbR,319,261,274,197,207,217
yfbS,290,230,241,466,567,498
hxpA,1055,1059,1062,552,445,414
yfbU,3050,3197,2913,1523,1397,1239
yfbV,2436,2717,2812,1536,1399,1311
ackA,17613,15021,17723,25266,29121,26712
pta,11583,8300,10908,15372,18652,16420
yfcC,120,65,65,586,631,622
yfcD,880,700,715,606,619,630
yfcE,641,542,548,447,371,397
yfcF,1312,1063,1092,331,273,251
yfcG,74,64,69,27,18,20
folX,1184,1263,1172,623,620,606
yfcH,704,638,614,299,322,306
rpnB,102,87,72,114,91,84
hisP,272,223,178,257,262,170
hisM,382,341,307,234,233,217
hisQ,447,317,306,225,227,201
hisJ,529,397,381,303,425,312
argT,122,125,62,157,150,108
ubiX,343,284,311,259,217,249
purF,2298,1137,1695,280,251,281
cvpA,866,541,586,134,130,132
dedD,572,579,601,502,445,460
folC,470,356,368,730,616,569
accD,6076,5613,5444,7821,7236,7034
dedA,5098,5509,5442,2927,3301,3148
truA,3003,3123,2986,1779,1785,1844
usg,1993,1727,1700,2593,2367,2379
pdxB,954,914,910,748,793,807
flk,949,790,786,890,970,904
yfcJ,102,90,91,156,158,179
fabB,4871,3476,5834,15807,18249,15044
mnmC,342,241,290,562,599,585
yfcL,291,207,261,302,324,253
epmC,442,339,384,471,455,446
yfcA,1397,1005,1149,1264,1358,1248
mepA,767,567,641,758,765,761
aroC,4244,3714,3644,3350,3143,3138
prmB,3172,2964,2893,4192,4305,4133
smrB,312,253,275,283,266,256
yfcO,1026,965,950,645,618,624
yfcP,23,26,28,19,11,9
yfcQ,20,10,9,17,11,15
yfcR,21,22,28,12,19,21
yfcS,10,10,14,15,15,16
yfcV,4,1,1,27,36,46
sixA,326,367,318,358,267,289
fadJ,95,78,77,269,286,252
fadI,112,117,79,705,713,627
yfcZ,856,631,865,3531,3285,3291
fadL,236,211,173,1327,1332,1102
yfdF,33,30,30,29,40,47
mlaA,605,521,497,1766,1697,1705
yfdC,223,235,176,102,56,60
argW,15,13,16,12,14,17
intS,94,92,83,136,137,114
yfdG,423,324,346,322,369,377
yfdH,1094,776,914,1012,1154,1110
yfdI,285,222,251,385,580,540
yfdK,36,37,37,13,19,17
yfdM,0,0,0,0,1,0
yfdN,1,6,0,2,0,2
yfdO,1,0,2,2,0,1
yfdP,35,46,48,17,24,21
yfdQ,73,72,63,35,50,49
yfdR,15,6,13,13,2,7
yfdS,9,9,13,3,11,2
yfdT,30,26,26,8,6,4
ypdJ,5,3,8,0,0,0
torI,1049,1173,1259,273,325,305
dsdC,30,31,29,16,17,11
dsdX,176,204,177,89,77,76
dsdA,157,149,121,92,104,104
emrY,17,19,20,28,35,27
emrK,2,7,2,13,25,16
evgA,513,530,414,633,717,674
evgS,939,721,657,1006,1009,915
yfdE,14,15,20,10,12,19
yfdV,5,10,7,10,10,11
oxc,20,19,22,19,22,40
frc,15,10,21,24,25,15
yfdX,7,14,8,15,16,15
ypdI,23,25,18,10,10,13
yfdY,183,147,172,163,157,160
lpxP,5827,6170,5954,2488,2654,2490
ypdK,17,18,17,262,200,260
alaC,699,713,627,806,701,629
ypdA,389,348,357,367,402,375
ypdB,423,338,398,256,221,219
ypdC,246,195,255,124,116,99
fryA,115,103,133,88,94,80
ypdE,32,29,34,27,27,23
ypdF,13,17,11,11,18,15
fryC,34,16,32,25,24,24
fryB,8,8,5,15,12,6
glk,2332,2045,2180,1993,1833,1725
yfeO,1188,1093,1078,781,774,769
ypeC,3467,3542,3636,110,101,141
mntH,11459,11273,11591,188,168,194
nupC,890,667,660,565,535,510
insL-3,681,615,569,951,1549,1661
pdeA,549,532,491,803,867,795
alaX,63,65,53,25,27,36
alaW,50,56,66,25,28,16
yfeC,331,286,303,192,208,175
yfeD,304,291,285,259,278,257
gltX,2936,2648,2496,5770,6028,5659
valU,329,260,220,138,83,109
valX,1733,1501,1444,691,698,709
valY,728,677,617,265,271,264
lysV,251,216,206,92,86,87
xapR,151,168,184,65,61,55
xapB,60,59,49,43,42,44
xapA,11,18,22,14,14,21
yfeN,21,11,11,9,7,8
yfeR,161,112,109,46,71,62
yfeH,1447,871,1382,703,624,587
ypeB,455,402,524,206,193,186
ligA,355,341,366,1465,1278,1211
zipA,3194,2855,2919,4015,3545,3246
cysZ,845,766,753,829,805,725
cysK,2603,2437,2069,1097,794,740
ptsH,6003,4019,4257,3663,3506,3290
ptsI,20182,13411,15449,11684,10988,10302
crr,7116,6224,6849,4683,4084,3893
pdxK,422,401,379,469,441,412
yfeK,25,23,28,41,40,41
yfeS,168,166,175,142,143,105
cysM,430,457,396,362,325,300
cysA,146,163,95,98,60,51
cysW,80,87,53,35,32,22
cysU,79,79,59,13,14,13
cysP,245,261,218,74,47,27
ucpA,335,292,355,1310,1195,1069
murR,23,17,21,10,27,22
murQ,112,131,91,109,123,100
murP,181,190,178,61,100,58
yfeW,100,94,75,100,130,140
yfeX,1731,1641,1497,4313,4411,4393
yfeY,648,566,610,1542,1264,1019
yfeZ,228,197,202,293,239,234
ypeA,66,65,60,93,61,58
amiA,587,582,505,710,712,616
hemF,634,500,529,650,630,572
eutR,96,103,100,90,98,105
eutK,42,37,33,62,46,43
eutL,89,108,102,190,157,125
eutC,137,137,129,231,201,233
eutB,3386,3155,2779,1075,1115,1077
intZ,182,121,98,583,649,621
yffL,50,34,51,75,60,84
yffM,14,8,8,9,8,13
yffN,10,6,7,9,11,6
yffO,8,15,11,9,10,15
yffP,31,39,35,19,27,25
yffQ,4,7,9,5,3,7
yffR,140,181,162,77,66,73
yffS,251,211,240,134,143,120
eutA,38,30,27,19,27,36
eutH,19,23,13,12,5,14
eutG,18,18,11,14,7,15
eutJ,2,4,5,9,10,7
eutE,9,15,21,23,29,30
eutN,2,0,1,5,2,3
eutM,35,29,28,37,23,30
eutD,4,28,14,33,23,35
eutT,20,24,24,17,23,21
eutQ,27,30,33,57,42,48
eutP,13,18,13,25,24,30
eutS,20,34,13,24,48,35
maeB,1620,1924,1510,1662,1409,1332
talA,1479,1890,1176,790,465,510
tktB,2505,3099,2001,1508,849,919
ypfG,195,190,178,206,147,180
nudK,1197,1055,1111,616,540,583
aegA,168,143,160,368,418,366
narQ,212,233,215,446,423,416
acrD,235,256,254,714,711,626
ypfM,196,121,187,287,385,322
yffB,347,367,421,989,1107,881
dapE,900,804,826,868,753,657
ypfN,244,214,202,178,199,166
ypfH,145,138,104,125,117,107
tmcA,1604,1105,1403,1256,1137,1087
ypfJ,746,522,602,385,370,365
purC,4177,2064,2685,445,390,344
bamC,10168,8068,8723,7197,6487,6299
dapA,5701,4918,5039,3348,2994,3063
gcvR,3090,2836,2537,954,895,852
bcp,2157,1882,1764,1013,1045,983
hyfA,14,12,26,19,10,14
hyfB,65,86,66,30,28,34
hyfC,9,11,9,7,14,8
hyfD,26,22,35,21,15,21
hyfE,36,41,33,16,22,14
hyfF,108,146,116,42,51,58
hyfG,101,89,83,63,69,70
hyfH,40,54,40,35,42,33
hyfI,50,55,53,29,35,32
hyfJ,8,14,14,9,5,9
hyfR,133,113,127,60,72,76
focB,164,166,134,65,84,76
yfgO,396,425,390,256,241,291
bepA,1605,1498,1464,707,608,619
yfgD,202,159,177,132,127,121
hda,184,155,144,211,224,204
uraA,144,163,197,429,378,364
upp,925,960,1026,4215,3900,3767
purM,830,526,524,463,419,342
purN,552,488,508,288,322,298
ppk,3204,3113,2945,1832,1829,1706
ppx,1226,1098,1046,848,698,721
pdeF,167,157,146,199,241,240
yfgG,1363,1318,1301,487,712,812
yfgH,28,27,23,64,123,114
yfgI,41,41,31,69,82,87
guaA,8507,5458,7346,6553,6987,6669
guaB,3728,2043,3089,3753,3627,3634
xseA,5080,4359,4309,3090,3400,3276
yfgJ,556,527,535,598,666,558
der,1813,1626,1719,3855,4104,3600
bamB,6990,6193,6118,9208,8766,8085
yfgM,1647,1446,1598,2055,1938,1937
hisS,7732,6796,6729,10016,9603,9156
ispG,6063,4940,5268,8622,8459,7774
rodZ,7057,6449,6516,8103,8373,7713
rlmN,1603,1692,1620,3426,3132,3129
ndk,428,369,368,663,597,514
pbpC,163,125,119,196,174,213
yfhM,5220,4617,4923,4718,3945,3686
sseA,836,853,826,733,674,692
ryfA,425,385,413,334,338,336
sseB,605,863,773,814,1006,808
pepB,1099,1460,1247,1944,1954,1742
iscX,1100,1299,1139,2211,2544,2386
fdx,676,696,668,1294,1278,1284
hscA,3169,3841,3266,8715,9138,8403
hscB,3108,3753,3170,5897,6473,5528
iscA,1636,1921,1656,1741,1549,1420
iscU,3124,3472,3296,3318,3103,2734
iscS,8601,10656,8284,9510,9011,7728
iscR,8229,10157,8465,2807,2609,2404
trmJ,1329,1253,1399,2225,2304,2291
suhB,1910,2468,2486,14475,14263,13727
yfhR,50,64,43,177,209,196
csiE,192,201,160,168,185,159
hcaT,331,283,281,237,259,236
hcaR,13,23,14,16,14,13
iroK,0,0,0,0,0,0
hcaE,1373,1654,1456,275,259,296
hcaF,429,500,472,129,151,124
hcaC,119,152,146,40,53,50
hcaB,207,239,227,95,84,81
hcaD,265,264,274,78,100,88
yphA,66,92,72,88,46,53
yphB,64,75,55,33,33,26
yphC,54,72,69,55,32,31
yphD,42,41,33,28,38,36
yphE,45,32,38,24,20,20
yphF,14,9,15,21,19,15
yphG,72,54,52,53,51,57
yphH,154,158,152,127,139,125
glyA,20571,10671,13160,4738,4146,4035
hmp,4946,4097,7297,365,277,300
glnB,689,565,674,568,433,408
glrR,356,326,316,432,402,367
qseG,832,812,763,924,897,899
glrK,357,387,372,308,313,302
glmY,822,1092,793,28,37,34
purL,12376,6051,9018,1807,1503,1456
mltF,178,156,143,317,350,336
tadA,304,268,227,666,746,738
pgpC,1037,931,923,2349,2574,2649
yfhH,61,65,45,239,253,261
yfhL,83,91,91,264,229,212
shoB,149,99,142,169,152,142
ohsC,0,7,2,3,2,3
acpS,141,143,108,112,85,74
pdxJ,1847,1581,1620,1554,1415,1309
recO,1018,849,915,1895,1913,1905
era,1335,1164,1172,3188,3219,3371
rnc,2462,2380,2447,6525,7144,6813
lepB,722,632,646,1617,1634,1480
lepA,3455,2970,2867,6984,6478,5796
rseC,1830,1429,1379,2024,1823,1547
rseB,7556,6275,6236,5674,5325,4367
rseA,12170,9662,9994,7691,6132,5434
rpoE,2168,1649,1736,1623,1213,1159
rseD,166,153,144,46,52,52
nadB,1196,1567,1269,110,121,104
yfiC,516,494,412,375,348,326
srmB,1001,1003,878,2418,2286,2300
yfiE,238,233,252,136,167,198
eamB,154,107,107,118,130,121
grcA,4924,3928,4547,4923,4045,3930
ung,667,636,614,1271,1388,1257
yfiF,932,664,730,2154,1893,1917
trxC,152,138,149,151,159,137
yfiP,186,153,157,233,289,268
patZ,727,551,588,535,510,451
pssA,2939,2585,2611,4190,3964,3904
yfiM,405,334,284,396,363,355
kgtP,4088,3271,2645,2958,2623,2550
rrfG,0,0,3,4,6,4
rrlG,6355,3401,11649,8297,21622,36230
gltW,2239,2237,1969,1280,1707,1975
rrsG,2094,1125,3451,2350,6036,10915
clpB,6004,5606,6182,10921,18314,20093
ryfD,140,137,155,219,283,297
pgeF,841,817,748,1398,1482,1413
rluD,2412,2383,2289,3852,4154,3997
bamD,4003,3733,3606,3641,3630,3507
raiA,19977,17418,21225,37689,47781,43849
pheL,105,70,97,163,124,171
pheA,2926,2463,1991,2121,2256,2188
tyrA,1054,685,618,1043,1218,1198
aroF,850,289,266,599,588,637
yfiL,40,39,46,64,82,71
yfiR,463,375,373,553,578,648
dgcN,464,357,402,909,998,995
yfiB,236,173,189,926,923,921
rplS,4774,4604,4633,8832,8700,8935
trmD,34789,34230,34743,64047,67505,63810
rimM,27577,26739,26934,54031,56944,52722
rpsP,19426,18966,19129,35538,39979,37953
ffh,11745,11063,10751,10241,10301,10576
ypjD,685,714,564,334,339,356
yfjD,674,609,546,801,772,770
grpE,3779,3285,3550,4484,7366,8051
nadK,830,846,853,494,449,474
recN,876,729,843,1621,1121,1072
bamE,1238,1116,1205,1325,1099,1075
yfjF,133,100,126,203,168,247
ratA,216,203,195,328,288,319
smpB,2676,2523,2487,2494,2762,2687
ssrA,3092500,3523690,3554546,1099010,1108968,1126573
intA,435,382,450,280,294,311
yfjH,132,150,126,100,131,116
alpA,7,2,4,1,6,3
yfjI,7,9,14,15,17,15
yfjJ,9,12,16,12,11,10
abpB,385,395,383,739,805,717
abpA,340,325,317,777,872,873
yfjM,23,27,19,43,40,31
rnlA,728,814,732,1926,2051,1843
rnlB,906,1056,895,888,1010,925
yfjP,29,29,41,42,33,33
yfjQ,15,16,18,31,13,24
yfjR,20,19,24,22,21,15
ypjK,5,7,2,6,9,5
yfjS,3,10,8,3,7,10
yfjT,21,31,26,15,12,24
yfjU,96,89,109,55,53,52
yfjW,148,134,163,92,88,87
yfjX,10,30,21,4,5,5
yfjY,8,16,7,8,4,7
ypjJ,7,7,3,6,6,4
yfjZ,6,7,7,4,3,4
ypjF,15,13,9,21,16,19
ypjA,216,197,210,178,170,172
ypjB,2,6,4,3,5,12
ypjC,2,4,3,0,1,0
ileY,0,1,1,0,0,0
csiD,76,73,55,88,63,59
lhgO,231,343,225,167,94,98
gabD,1162,1618,1099,807,475,467
gabT,751,1173,713,496,282,301
gabP,214,355,228,124,78,97
csiR,486,597,453,257,199,204
kbp,245,330,253,165,101,107
yqaE,197,209,195,139,78,151
ygaV,234,154,180,126,122,110
ygaP,553,496,482,323,305,332
stpA,281,284,251,267,303,320
alaE,7042,9697,10857,204,184,200
ygaC,729,917,844,336,435,557
ygaM,2014,2234,1882,761,332,403
nrdH,10006,9292,9364,54,68,80
nrdI,14876,13959,13991,92,120,109
nrdE,35330,31279,30506,285,294,290
nrdF,11470,9945,9885,102,85,91
proV,739,683,537,3670,4830,4629
proW,757,718,565,3759,4699,4378
proX,1033,850,731,5051,6388,5522
ygaZ,1133,903,877,846,862,851
ygaH,419,314,302,516,605,548
mprA,1291,966,1136,2933,3069,2402
emrA,539,408,415,3045,2884,2280
emrB,359,320,316,763,770,694
luxS,7791,8783,7387,2125,2065,2002
micA,570,660,539,97,119,116
gshA,5119,4926,4659,6011,5955,5741
yqaA,814,802,772,952,967,1026
yqaB,747,573,667,1030,991,926
argQ,375,427,379,390,451,525
argZ,720,720,713,766,871,872
argY,1044,992,1039,1064,1188,1197
argV,786,681,712,927,867,1047
serV,2714,1861,1715,1116,1054,1166
csrA,2348,2305,2177,1859,1719,1696
alaS,11698,9696,10125,16984,16336,15765
recX,444,375,375,940,904,851
recA,8864,7252,7490,13103,11005,10029
pncC,192,148,134,237,236,258
mltB,893,839,760,750,663,717
srlA,18,22,24,101,142,175
srlE,36,40,44,204,275,313
srlB,18,11,10,115,152,140
srlD,104,112,111,721,897,963
gutM,56,50,46,36,34,36
srlR,325,292,266,407,374,368
gutQ,171,125,145,193,199,198
norR,115,89,88,91,79,130
norV,108,137,130,66,64,51
norW,58,84,62,83,86,82
hypF,529,498,508,2164,1999,1925
hydN,117,101,109,751,564,479
ascG,607,601,528,328,341,303
ascF,202,239,185,142,126,129
ascB,330,328,334,356,460,424
hycI,315,290,303,1247,1646,1167
hycH,30,29,25,259,340,236
hycG,38,30,44,831,1063,724
hycF,22,21,25,792,992,618
hycE,45,41,50,2227,2325,1521
hycD,28,21,18,1231,957,682
hycC,45,29,26,1530,1031,795
hycB,35,34,25,1538,1197,838
hycA,68,50,60,2191,1820,1402
hypA,84,59,73,958,874,795
hypB,400,324,378,4032,4009,3912
hypC,68,69,66,745,802,846
hypD,455,322,374,3581,3566,3705
hypE,486,494,450,3503,3821,3816
fhlA,197,222,176,793,1029,1074
ygbA,588,556,566,137,146,169
mutS,1386,1253,1204,2871,2944,2882
pphB,33,26,28,41,40,53
ygbI,134,139,133,114,112,109
ygbJ,29,29,44,28,27,36
ygbK,133,119,141,98,86,97
ygbL,28,30,42,20,22,23
ygbM,89,86,76,63,57,50
ygbN,174,184,196,111,102,98
rpoS,15441,20167,13720,4454,3405,3355
nlpD,34323,41723,30075,10428,9764,9762
pcm,641,609,668,723,716,734
umpG,432,354,385,996,966,991
truD,737,510,584,2152,2068,2212
ispF,148,112,126,426,394,440
ispD,910,754,820,2741,2915,2881
ftsB,677,576,600,1255,1258,1471
ygbE,222,221,183,183,213,205
cysC,304,299,211,61,47,46
cysN,923,976,588,138,105,105
cysD,1240,1113,805,109,91,66
iap,298,252,269,395,376,431
cas2,34,24,44,12,18,26
cas1,55,43,42,48,36,32
casE,33,33,28,31,12,23
casD,30,28,30,46,37,26
casC,40,21,28,60,50,46
casB,15,11,25,44,35,29
casA,12,23,15,53,37,30
cas3,52,29,52,66,64,57
sokX,1,2,2,1,0,3
cysH,172,152,100,73,78,66
cysI,442,502,342,297,204,223
cysJ,1432,1365,958,496,310,344
queD,88,93,84,433,503,445
ygcN,78,53,64,374,447,410
ygcO,46,42,45,167,204,163
ygcP,34,36,35,149,180,175
ygcQ,47,54,63,63,89,88
ygcR,11,12,18,10,9,12
ygcS,19,10,20,16,19,12
ygcU,17,34,26,20,13,15
ygcW,3,7,2,1,7,7
yqcE,47,55,36,19,21,19
ygcE,74,79,64,25,25,25
queE,570,535,442,3304,3192,3279
yqcG,0,2,1,1,5,5
ygcG,11,11,10,20,26,36
eno,64126,50520,51788,20553,23091,21260
pyrG,10086,9428,9642,24831,27469,27818
mazG,1040,1138,1134,1206,1301,1237
mazF,544,592,611,547,660,591
mazE,412,333,391,325,297,279
relA,3615,3081,3096,3490,3628,3159
rlmD,617,516,532,923,928,840
barA,1363,1189,1159,1752,1863,1781
gudD,151,202,200,220,224,195
gudX,149,230,194,135,158,159
gudP,51,61,67,82,76,70
yqcA,304,265,279,399,356,385
truC,775,758,695,1115,1235,1210
yqcC,111,130,122,111,126,128
csrB,5235,3668,4257,2736,2144,2680
syd,1223,1370,1248,388,460,405
queF,906,880,843,1052,1101,956
ppnN,4354,3249,3790,2970,3108,2628
sdaC,748,575,579,1193,1685,1304
sdaB,263,223,225,553,672,604
ygdG,147,116,113,216,214,180
fucO,185,179,179,338,274,263
fucA,26,28,34,29,20,25
fucP,24,25,20,70,81,61
fucI,171,180,146,307,333,310
fucK,60,76,52,51,62,57
fucU,152,183,176,96,85,87
fucR,732,702,660,323,417,369
rlmM,538,458,481,1038,1116,1061
ygdD,189,119,145,357,356,391
gcvA,305,208,207,136,180,216
gcvB,16141,30792,29554,73012,86913,106221
ygdI,134,213,134,1027,1096,1069
csdA,524,575,495,2027,2057,2121
csdE,286,287,271,509,544,564
tcdA,319,298,282,456,400,471
mltA,1311,1182,1204,1592,1496,1390
metZ,42,55,38,14,18,21
metW,70,43,53,40,18,28
metV,47,52,38,26,18,24
amiC,609,532,478,1022,970,975
argA,1781,1075,1055,285,290,260
recD,1663,1273,1252,476,479,458
recB,5335,4196,4604,3177,3433,3393
ptrA,4025,3926,3845,2947,2833,2647
recC,3362,3336,3213,2003,2109,2191
ppdC,148,178,157,81,119,98
ygdB,49,44,37,35,43,38
ppdB,47,53,53,58,48,46
ppdA,45,49,64,90,123,77
thyA,3545,3286,3350,4069,4511,4370
lgt,3828,3273,3284,3974,4169,4150
ptsP,9681,8060,8063,6994,6854,6669
rppH,1631,1504,1544,1589,1584,1491
ygdT,7,19,9,6,6,4
mutH,188,220,192,133,126,142
ygdQ,745,741,669,936,962,974
ygdR,80,97,93,173,190,238
tas,3321,3680,2847,1415,1139,1195
lplT,742,734,688,544,529,494
aas,1457,1123,1266,1361,1393,1381
omrA,10,13,15,45,100,133
omrB,14,15,24,76,136,206
galR,1068,1099,936,1617,1666,1687
lysA,571,643,522,689,682,653
lysR,135,128,132,89,98,98
ygeA,855,915,800,229,194,224
araE,374,411,398,192,165,164
kduD,49,58,38,44,37,38
kduI,59,48,55,106,109,99
yqeF,89,86,62,284,333,317
yqeG,92,79,106,1632,1831,1808
yqeH,5,8,5,21,30,28
yqeI,319,224,253,101,88,114
yqeJ,44,37,45,8,15,10
yqeL,17,24,11,5,2,18
yqeK,8,5,7,9,3,5
ygeG,3,1,2,2,9,7
ygeH,2,8,11,5,7,6
ygeI,2,2,7,4,1,2
insD-4,147,125,134,110,101,89
insC-4,124,134,118,110,101,110
ygeQ,67,54,53,303,279,271
glyU,49,36,30,45,44,58
ygeR,1084,927,993,728,711,736
xdhA,126,111,117,743,848,896
xdhB,53,47,48,400,419,471
xdhC,31,31,35,130,110,134
ygeV,537,534,597,205,284,264
ygeW,36,39,32,2618,3435,3216
ygeX,50,69,55,1060,1532,1397
ygeY,32,25,30,1625,3227,2536
hyuA,88,89,93,460,416,461
yqeA,122,114,125,434,527,541
yqeB,91,91,99,462,464,479
yqeC,24,30,23,266,282,298
mocA,60,79,72,276,316,329
ygfK,84,121,104,2669,2570,2806
ssnA,55,44,48,2574,2136,2504
ygfM,35,71,59,1139,1051,1186
xdhD,198,203,225,3579,4155,4410
xanQ,165,135,126,428,514,635
guaD,77,76,61,286,416,376
ghxQ,40,48,57,144,185,201
ygfS,40,42,39,85,98,81
ygfT,71,77,74,199,182,241
uacT,5,9,6,52,51,74
yqfG,2,6,1,6,5,7
yqfH,2,1,0,2,0,2
idi,196,180,153,315,327,295
lysS,5155,4653,4479,6988,7007,6908
prfB,6058,5738,5352,9274,8829,8740
recJ,3206,2983,2825,4766,5024,4894
dsbC,2459,2461,2418,4079,4289,3993
xerD,443,417,419,589,631,662
fldB,1628,1519,1604,1449,1422,1446
ygfX,918,664,757,1307,1270,1245
sdhE,407,330,355,742,669,733
ygfZ,2987,3008,3083,2947,3054,2993
yqfA,3484,3371,4704,1028,1144,1010
yqfB,196,195,169,214,230,225
bglA,3437,2859,2979,2759,2796,2786
ygfF,335,375,428,461,415,363
gcvP,11770,13027,16221,14740,11872,9872
gcvH,1490,1676,1880,2008,1457,1320
gcvT,4246,5999,5692,4137,3425,2955
yqfI,6,2,2,7,10,17
ubiI,1074,927,950,1325,1260,1229
ubiH,2525,2273,2122,2568,2375,2422
pepP,3325,3066,3065,3701,3797,3627
ygfB,1664,1528,1439,2162,2125,2071
zapA,7936,8342,8674,6260,6083,5928
ssrS,3525,4234,4190,9284,10039,9571
fau,886,846,766,537,599,575
sibC,92,106,106,50,37,49
ibsC,0,0,0,0,0,0
serA,15472,12728,11567,1424,1161,1122
rpiA,2594,2258,2206,1450,1426,1489
argP,1438,1405,1290,401,362,361
scpA,72,73,73,81,89,77
argK,43,50,44,50,45,54
scpB,31,37,30,32,46,32
scpC,54,72,60,97,87,87
ygfI,144,132,131,457,496,450
yggE,618,713,533,1667,1421,1613
argO,111,174,124,688,557,540
mscS,4175,5772,4408,4396,3593,3579
fbaA,23623,16809,18486,12321,12238,11187
pgk,38127,26563,27994,22218,21419,21396
epd,17674,14325,16585,5676,6096,6355
yggC,311,292,283,198,217,251
fumE,323,320,301,246,272,246
yggF,14,15,20,11,17,13
yggP,16,29,17,31,24,32
cmtA,24,18,13,17,21,13
cmtB,5,4,3,6,6,12
tktA,12489,9028,9493,10956,11865,11518
loiP,170,183,156,309,293,325
speB,702,601,585,2575,2261,2224
speA,5509,6200,5742,13320,12196,11370
yqgB,192,303,233,801,831,769
yqgC,463,463,454,1071,1068,1091
yqgD,102,84,61,192,257,261
metK,1214,892,659,2760,3286,2623
galP,448,343,325,5040,5280,4172
yggI,90,99,64,128,106,145
endA,55,65,64,288,350,392
rsmE,978,1046,941,1258,1364,1364
gshB,2396,2507,2509,2745,2858,2730
yqgE,6951,6684,6182,2298,2337,2278
yqgF,2927,2683,2555,968,1021,954
yggR,839,850,730,288,326,365
yggS,792,705,666,1021,1034,1061
yggT,417,358,350,519,560,653
yggU,312,331,307,611,809,744
rdgB,897,901,806,1968,2215,2253
yggW,350,318,232,607,610,713
yggM,125,135,90,151,201,195
ansB,722,748,684,8581,6759,6137
yggN,1001,989,933,1999,1727,1827
yggL,360,302,301,373,302,374
trmI,326,392,297,458,552,582
mutY,1694,1676,1547,1749,1863,2002
yggX,373,380,337,354,396,353
mltC,1195,1106,1031,868,1085,1080
nupG,259,232,226,235,256,204
speC,674,558,605,848,710,611
yqgA,66,60,65,174,187,195
pheV,22,13,15,7,10,11
yghD,40,32,43,47,77,75
yghG,4,6,3,18,28,22
pppA,40,68,47,45,63,54
yghJ,443,492,437,351,368,347
glcA,173,173,184,50,32,45
glcB,288,351,254,379,330,426
glcG,53,72,43,111,102,156
glcF,156,133,136,147,201,330
glcE,49,43,40,25,88,108
glcD,77,74,80,28,94,178
glcC,114,87,87,89,79,86
yghO,80,89,84,70,52,53
insH-9,637,584,523,533,492,460
yghQ,90,88,88,54,58,66
yghR,19,5,13,11,19,16
yghS,50,51,41,27,28,23
yghT,8,8,3,12,12,10
pitB,63,60,54,74,82,102
gss,2984,2685,2881,887,893,791
yghU,1352,1463,1299,239,219,205
hybG,313,291,274,289,303,280
hybF,97,124,112,350,412,318
hybE,328,398,350,986,1146,963
hybD,530,594,557,1699,1944,1614
hybC,539,515,532,5737,6852,6277
hybB,97,82,110,6341,7155,6851
hybA,95,46,50,8836,9074,9042
hybO,110,70,79,8048,8764,8951
yghW,14,14,12,92,110,114
yqhI,29,53,31,11,8,7
gpr,268,166,172,227,224,151
yqhA,201,184,164,413,368,375
yghA,149,216,151,135,62,75
exbD,14983,13889,12657,889,1062,826
exbB,25326,24258,22185,1448,1724,1620
metC,1218,908,744,334,340,325
yghB,1470,1459,1391,1236,1378,1372
yqhC,127,123,102,218,211,202
yqhD,692,801,958,1713,1743,1674
dkgA,921,1341,928,1108,770,869
yqhG,43,36,54,53,49,47
yqhH,25,37,23,29,31,30
ygiQ,1628,1639,1497,3807,3837,3534
ftsP,1328,1247,1173,1537,1636,1728
plsC,1355,1306,1212,2382,2590,2744
parC,3241,2938,2853,5651,5905,6180
ygiS,455,459,465,261,299,268
mqsA,384,416,427,106,101,142
mqsR,378,401,411,83,84,122
ygiV,49,77,44,208,114,139
ygiW,474,697,481,4351,2661,2436
qseB,78,88,55,77,71,99
qseC,226,217,206,303,256,245
ygiZ,6,4,3,2,3,3
mdaB,663,666,621,269,292,325
ygiN,2106,2034,1883,1118,1033,1099
parE,2622,2639,2453,4723,4828,4733
yqiA,734,692,645,717,830,803
cpdA,1689,1467,1502,1316,1302,1292
yqiB,1858,1877,1936,1323,1507,1472
nudF,1035,1107,1073,796,854,844
tolC,8076,8159,7580,18234,18293,17784
ygiA,118,96,91,341,291,329
ygiB,4295,3831,3716,6322,6308,6363
ygiC,1926,1673,1717,2828,2941,3002
ygiD,422,496,449,299,353,360
zupT,1289,1459,1490,467,465,422
yqiD,109,127,118,89,73,88
ribB,5105,5383,5699,9886,11058,8870
ubiK,906,941,989,698,698,691
ygiL,11,8,8,46,43,44
insC-5,123,125,126,98,102,79
insD-5,166,141,134,112,97,109
yqiH,11,11,13,21,21,24
yqiI,41,37,22,27,22,37
glgS,136,172,104,446,474,760
yqiJ,135,141,182,98,126,135
yqiK,237,191,202,328,306,320
sibD,535,589,570,225,212,260
ibsD,0,0,0,0,0,0
sibE,421,518,408,151,114,132
ibsE,0,0,0,0,0,0
rfaE,1178,1041,1088,1092,1085,1164
glnE,3369,3387,3253,2066,1928,1854
ygiF,837,782,740,581,533,535
ygiM,413,263,364,1008,780,724
cca,2441,2275,2208,2571,2413,2166
bacA,186,181,180,410,397,447
