Geneid,M9-PCU1T-1,M9-PCU1T-3,M9-PCU1T-2,TB-PCU1T-6,TB-PCU1T-5,TB-PCU1T-4
hlyE,29,44,35,130,111,99
umuD,88,81,95,44,31,34
umuC,91,99,86,45,57,59
dsbB,595,522,529,508,560,520
nhaB,1959,1895,1751,3206,3272,2943
fadR,1985,1631,1527,2208,2081,2045
ycgB,1139,1935,1531,219,129,121
dadA,1879,1393,1373,624,425,391
dadX,1186,967,956,542,356,319
ymgM,210,136,154,133,141,134
cvrA,1254,912,1004,946,997,960
ldcA,791,814,742,488,474,419
emtA,295,301,301,404,355,323
ycgR,83,92,79,102,131,116
ymgE,29,43,35,21,25,12
ycgY,15,11,11,20,22,11
treA,672,644,698,1031,650,548
dhaM,5750,6213,7681,3645,2659,2488
dhaL,6829,6838,8272,3869,2829,2767
dhaK,9230,8465,10287,6097,4517,4368
dhaR,491,558,505,249,244,201
ycgV,2330,2762,2567,394,418,391
ychF,702,682,632,2414,2272,2080
pth,704,679,645,1354,1300,1253
ychH,177,185,163,378,304,309
dauA,671,634,657,1938,1778,1697
prs,7856,6357,7025,8647,8956,7918
ispE,2283,1909,1945,3101,2709,2825
lolB,1471,1276,1301,1934,1912,1741
hemA,2514,2391,2210,5466,5419,5240
prfA,1653,1480,1539,8414,8044,7409
prmC,246,234,212,1214,1194,1067
ychQ,271,289,248,807,941,806
ychA,1129,1204,1146,1388,1458,1316
kdsA,4527,4489,4348,5257,5501,5116
ldrA,163,219,182,210,277,241
rdlA,75,83,73,87,117,99
ldrB,24,21,24,39,35,40
rdlB,10,28,11,21,21,29
ldrC,26,36,26,69,70,78
rdlC,41,41,34,51,52,64
chaA,1234,1057,1003,5222,6155,5977
chaB,200,266,206,140,107,89
chaC,688,712,631,289,243,259
ychN,174,167,161,191,153,133
ychO,779,580,601,388,396,356
narL,986,802,787,1327,1069,937
narX,635,586,536,690,593,556
narK,221,112,169,1009,1084,1454
narG,677,455,712,8731,6570,7810
narH,364,277,433,5114,3612,3648
narJ,193,110,161,2143,1368,1202
narI,92,77,117,1343,775,769
ychS,7,5,5,34,34,39
rttR,27,33,29,139,149,135
tpr,0,0,0,0,0,0
tyrV,160,243,195,155,180,191
tyrT,130,147,154,143,139,166
purU,966,772,641,1335,1288,1235
ychJ,1557,1179,1183,2186,2145,1999
rssA,1841,1580,1456,1996,1765,1769
rssB,464,392,375,650,469,521
galU,1381,1307,1166,4593,4102,3967
hns,11170,7393,9648,38113,38884,34292
tdk,140,100,80,537,463,466
adhE,567680,445606,581039,80056,78976,71048
ychE,340,311,362,261,237,232
insH21,645,551,540,545,511,464
oppA,231823,206488,188248,51514,47390,42096
oppB,40846,35211,31713,15990,13832,12578
oppC,30560,26481,24766,15591,13646,13512
oppD,37909,34959,33143,16914,16446,16384
oppF,28808,25964,24013,8168,8600,8955
yciU,3500,3325,3027,624,630,664
clsA,1546,1545,1482,811,798,694
yciY,201,171,163,68,57,73
kch,770,652,688,687,555,580
yciI,812,596,576,290,228,209
tonB,1361,1204,1181,158,143,115
yciA,249,219,217,314,323,312
yciB,536,497,567,682,778,772
yciC,1767,1770,1800,2713,2952,2881
ompW,88,79,80,1242,1250,1513
yciE,20,36,38,87,98,117
yciF,18,31,19,22,36,26
yciG,24,39,22,7,4,9
trpA,4920,4936,3700,996,1008,847
trpB,3422,3013,2270,768,657,635
trpC,4651,3317,2367,591,602,530
trpD,7720,3462,2502,322,308,292
trpE,13256,3872,3117,303,258,337
trpL,377,138,208,27,19,15
yciV,862,693,829,765,703,661
yciO,865,759,875,1207,1068,998
yciQ,577,491,539,661,707,621
rluB,2230,2051,1919,7900,8537,7814
btuR,425,428,386,427,485,449
yciK,797,829,715,543,535,512
sohB,2758,2444,2432,1309,1193,1161
yciN,783,775,804,1745,1727,1754
topA,5679,5350,4870,15183,16802,15921
cysB,1913,1724,1542,2201,2305,1916
ymiA,180,155,178,23,28,22
yciX,1077,972,1019,89,96,102
ymiC,209,215,191,26,35,39
acnA,2983,2643,2295,6330,4775,4156
ribA,1378,1309,1226,1871,1777,1700
pgpB,767,734,768,661,644,582
lapA,599,552,555,507,427,472
lapB,1059,991,963,721,685,660
pyrF,1028,1160,1129,1702,1874,1870
yciH,262,254,240,400,422,334
osmB,1335,2165,1648,1526,1488,1966
yciT,1243,1511,1291,474,506,409
yciZ,699,925,730,158,170,135
pdeR,178,172,218,724,782,691
ymiB,18,13,13,34,44,27
rnb,5814,5910,5160,8632,8951,8296
yciW,799,875,605,322,338,341
fabI,4244,3755,3770,7283,7234,6804
ycjD,46,49,52,42,53,44
sapF,651,549,574,439,531,430
sapD,850,717,756,819,856,817
sapC,415,316,315,563,560,471
sapB,208,151,201,286,241,239
sapA,1394,1264,1294,1398,1356,1363
ymjA,580,547,519,337,284,294
puuP,128,132,119,76,68,43
ymjE,36,24,24,10,9,13
puuA,469,466,305,92,91,96
puuD,494,482,368,129,148,130
puuR,223,191,199,104,80,85
puuC,103,169,94,46,41,50
puuB,110,188,103,87,55,71
puuE,60,77,58,39,39,43
pspF,204,164,172,254,240,191
pspA,1256,893,1710,378,396,445
pspB,299,217,393,81,88,105
pspC,665,495,837,171,183,210
pspD,155,153,236,45,50,56
